fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,abl_no_contrastive,6,1926.64,0.858,5,0.47,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.36955727338790895, 0.36603460609912875, 0.3408448725938797, 0.39687304496765136, 0.5065065562725067, 0.36200728118419645, 0.4889412045478821]",0.8571428571428571,1.0,0.6666666666666666,0.8,0.6956521739130435,0.7302967433402214,0.8333333333333333,1.0,1.0,0.44958822429180145,0.7142857142857143,1.0,0.3333333333333333,0.5,0.36363636363636376,0.47140452079103173,0.6666666666666666,1.0,1.0,0.6662418065775937
38,S40,742,7,abl_no_contrastive,6,983.19,0.858,5,0.44,0.85,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.38591156005859373, 0.40927005410194395, 0.4173624813556671, 0.6096693336963653, 0.42725546956062316, 0.4174843966960907, 0.46420722007751464]",0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.8,0.75,0.4098342120647431,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.420084227756359
40,S42,730,7,abl_no_contrastive,6,1294.71,0.859,5,0.51,0.0899,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.46292407512664796, 0.29973540604114535, 0.4565148949623108, 0.31079934239387513, 0.6292143225669861, 0.2918883413076401, 0.3702343165874481]",0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.45409847157342087,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.6750156231648481
41,S43,742,7,abl_no_contrastive,6,2162.24,0.858,5,0.57,0.3293,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.45999897122383115, 0.7218491554260253, 0.5297506213188171, 0.7785028934478759, 0.7996678709983825, 0.4668377757072449, 0.6157346725463867]",0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.37537971990449087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2625358479971271
13,S15,742,6,abl_no_contrastive,2,1977.06,0.858,5,0.45,0.265,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.37990386188030245, 0.3854483991861343, 0.4080823838710785, 0.6655503213405609, 0.49198238253593446, 0.5716430902481079]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3495649268229802,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.5537568509730599
15,S17,740,7,abl_no_contrastive,2,950.24,0.858,5,0.37,0.3493,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 0, 1, 1]","[0.3120225131511688, 0.5776814103126526, 0.6225758075714112, 0.4993223547935486, 0.3221508711576462, 0.693530011177063, 0.5114675998687744]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49427059165069026,0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.47519750024455215
16,S18,722,14,abl_no_contrastive,2,1012.73,0.859,5,0.47,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[0.44259568452835085, 0.7482468843460083, 0.3652006506919861, 0.5264546275138855, 0.4030649423599243, 0.4298066675662994, 0.4095619678497314, 0.6127828240394593, 0.5555326461791992, 0.6295101284980774, 0.381981885433197, 0.7339004755020142, 0.6278281927108764, 0.6968892335891723]",0.7857142857142857,0.75,0.8571428571428571,0.8,0.5714285714285714,0.5773502691896257,0.7857142857142857,0.9387755102040816,0.9571428571428571,0.4000441240412848,0.7857142857142857,0.75,0.8571428571428571,0.8,0.5714285714285714,0.5773502691896257,0.7857142857142857,0.9387755102040816,0.9571428571428571,0.4905358097829421
17,S19,724,17,abl_no_contrastive,2,1742.54,0.859,5,0.05,1.0,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]","[0.5244942665100097, 0.5235058546066285, 0.5183866679668426, 0.5250080823898315, 0.5182718932628632, 0.5249973893165588, 0.5210472106933594, 0.5216230273246765, 0.5266243100166321, 0.5212571620941162, 0.5216729879379273, 0.5240900993347168, 0.5273784518241882, 0.5266881823539734, 0.5271477699279785, 0.5239426612854003, 0.518263840675354]",0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.7142857142857142,0.6314425770308123,0.11143528573653272,0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.7142857142857142,0.6314425770308123,0.11146747133684798
18,S20,728,7,abl_no_contrastive,2,1456.67,0.859,5,0.47,0.0599,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1, 1]","[0.1785135820508003, 0.18894955813884734, 0.19990020990371704, 0.423924058675766, 0.21332142353057862, 0.49756358861923217, 0.7285571455955505]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5098957762122154,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.7824627054966481
25,S27,726,7,abl_no_contrastive,4,2330.35,0.859,5,0.52,0.0732,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.3777050256729126, 0.4732218325138092, 0.2419038951396942, 0.6602843046188355, 0.40935098528862, 0.21697234064340593, 0.7564919471740723]",0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.5978054683123315,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.8228008376542139
