fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,abl_no_et,6,765.34,0.723,5,0.49,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.3382491648197174, 0.38236290216445923, 0.35731824636459353, 0.40817755460739136, 0.42481122612953187, 0.3496889531612396, 0.41674938797950745]",0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5460169860294887,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5709559025444447
38,S40,742,7,abl_no_et,6,691.08,0.723,5,0.49,1.3277,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.4008462905883789, 0.5657708406448364, 0.4348447620868683, 0.5971558094024658, 0.49280722737312316, 0.46806212663650515, 0.4770254671573639]",0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.7,0.7,0.2699058251721519,0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.7,0.7,0.2582682229740322
40,S42,730,7,abl_no_et,6,834.44,0.724,5,0.47,0.2429,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.4522102415561676, 0.31813044250011446, 0.4046723425388336, 0.2696332961320877, 0.6020111203193664, 0.2768689692020416, 0.4236953675746918]",0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.5555770150252751,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.6274391259384635
41,S43,742,7,abl_no_et,6,733.58,0.723,5,0.51,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.5122170388698578, 0.6448795557022095, 0.5015462696552276, 0.6538577437400818, 0.6561952471733093, 0.47737053632736204, 0.5916725397109985]",0.7142857142857143,0.8,0.8,0.8,0.30000000000000004,0.3,0.65,0.9,0.9666666666666666,0.2803230098315647,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,0.9,0.9666666666666666,0.2938006637574375
25,S27,726,7,abl_no_et,4,785.6,0.724,5,0.42,0.1208,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.43784903883934023, 0.4112314760684967, 0.3123041033744812, 0.5316687941551208, 0.46006287932395934, 0.3108245313167572, 0.5802526891231536]",0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.4542356363364628,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.776116090207234
26,S28,744,7,abl_no_et,4,637.16,0.723,5,0.45,0.2809,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[1, 0, 0, 0, 1, 1, 0]","[0.522334772348404, 0.48867411017417905, 0.5094995498657227, 0.5530012488365174, 0.5038925528526306, 0.600880229473114, 0.5227375090122223]",0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.5833333333333333,0.6666666666666667,0.21741589903831485,0.5714285714285714,0.5,1.0,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.625,0.5833333333333333,0.6666666666666667,0.23107280536788954
27,S29,718,20,abl_no_et,4,605.06,0.724,5,0.05,0.128,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0.503227025270462, 0.5024487853050232, 0.49719040989875796, 0.5084323346614837, 0.5330770015716553, 0.514382141828537, 0.534532082080841, 0.5099728643894196, 0.5031468868255615, 0.5056369781494141, 0.5302921831607819, 0.5243876099586486, 0.497421658039093, 0.5200770854949951, 0.49442664384841917, 0.5253824651241302, 0.5116382420063019, 0.4809057593345642, 0.5020701050758362, 0.48831941485404967]",0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.6666666666666667,0.9422712273763996,0.3364780047535897,0.6,0.8,0.7058823529411765,0.75,-0.23076923076923084,-0.24253562503633297,0.35294117647058826,0.6666666666666667,0.9422712273763996,0.2487392744832703
28,S30,704,13,abl_no_et,4,807.1,0.725,5,0.49,0.3466,0.5925,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.5676831126213073, 0.7325353980064392, 0.27791237803176044, 0.3156289666891098, 0.16397788715548814, 0.39324879050254824, 0.7884258508682251, 0.14788638353347777, 0.41063223481178285, 0.31474778056144714, 0.24792258739471434, 0.6429232776165008, 0.4779664218425751]",0.8461538461538461,0.5,1.0,0.6666666666666666,0.5806451612903225,0.6396021490668313,0.9090909090909092,0.9090909090909091,0.5833333333333333,0.5919844348735821,0.9230769230769231,0.6666666666666666,1.0,0.8,0.7547169811320754,0.778498944161523,0.9545454545454546,0.9090909090909091,0.5833333333333333,0.6511298856642938
30,S32,744,7,abl_no_et,4,819.47,0.723,5,0.48,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.49975310564041137, 0.3760859608650208, 0.4156340420246124, 0.4713426470756531, 0.4475022554397583, 0.43456918001174927, 0.5894143342971802]",0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.5379569249493735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7705432411865708
13,S15,742,6,abl_no_et,2,868.01,0.723,5,0.42,0.7841,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.2918707311153412, 0.3646743714809418, 0.3268907070159912, 0.7333856761455536, 0.3675344347953796, 0.5765972435474396]",0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.38984113931655884,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.40172189166835093
