fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,abl_no_fusion_transformer,6,2257.48,0.847,5,0.49,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.3333458244800568, 0.35238273739814757, 0.29621202647686007, 0.37980456948280333, 0.4762113869190216, 0.33701339960098264, 0.46547805070877074]",0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.46327584002699174,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.581751521377851
38,S40,742,7,abl_no_fusion_transformer,6,933.88,0.847,5,0.45,1.087,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.3799043893814087, 0.42232316732406616, 0.421487832069397, 0.6471319437026978, 0.43862834572792053, 0.4193971812725067, 0.47029240131378175]",0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.6,0.6666666666666666,0.40011924845831737,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.3966990973878313
40,S42,730,7,abl_no_fusion_transformer,6,893.67,0.848,5,0.53,0.1146,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.45341676473617554, 0.2872232884168625, 0.47977663278579713, 0.3114846020936966, 0.5925822734832764, 0.2838871255517006, 0.3876830220222473]",0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.4577066129871777,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.6389280804349005
41,S43,742,7,abl_no_fusion_transformer,6,2419.17,0.847,5,0.44,0.4086,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.45777284502983095, 0.7557049512863159, 0.5529512763023376, 0.8245901942253113, 0.859961462020874, 0.5292278051376342, 0.6298722565174103]",0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.2220396246228899,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,0.9,0.9666666666666666,0.1589942532888873
13,S15,742,6,abl_no_fusion_transformer,2,2539.66,0.847,5,0.44,0.9211,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.2899776458740234, 0.31645242869853973, 0.36189657747745513, 0.712785291671753, 0.559983903169632, 0.6695055603981018]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5148997654517492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5188680007872282
15,S17,740,7,abl_no_fusion_transformer,2,786.31,0.847,5,0.42,0.2674,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 0, 1, 1]","[0.34019011855125425, 0.6039972305297852, 0.6253646731376648, 0.5139448642730713, 0.38197433948516846, 0.6984779357910156, 0.5218905448913574]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47345147047724045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4253299140352428
16,S18,722,14,abl_no_fusion_transformer,2,899.6,0.848,5,0.48,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[0.4681935429573059, 0.8100364327430725, 0.27579712569713594, 0.460174149274826, 0.3420190215110779, 0.40031800270080564, 0.396709680557251, 0.6460638403892517, 0.5633638381958008, 0.669827139377594, 0.32435999512672425, 0.7835641264915466, 0.6500651717185975, 0.7375920057296753]",0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.9387755102040816,0.9571428571428571,0.39990311456578115,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.9387755102040816,0.9571428571428571,0.49174679059108306
17,S19,724,17,abl_no_fusion_transformer,2,1465.75,0.848,5,0.05,1.0,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]","[0.4767667591571808, 0.48100011348724364, 0.44906688928604127, 0.5938559889793396, 0.45401527285575866, 0.5702061295509339, 0.5254098355770112, 0.5210376858711243, 0.5885379195213318, 0.4344754993915558, 0.539294695854187, 0.6168066024780273, 0.5728184938430786, 0.630726981163025, 0.6258862614631653, 0.632922625541687, 0.5311394214630127]",0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.9571428571428571,0.9571428571428571,0.3318019509315491,0.7058823529411765,0.5833333333333334,1.0,0.7368421052631579,0.4516129032258064,0.5400617248673217,0.75,0.9571428571428571,0.9571428571428571,0.3313278790887701
18,S20,728,7,abl_no_fusion_transformer,2,1489.4,0.848,5,0.48,0.123,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1, 1]","[0.17545460611581803, 0.2586940675973892, 0.2610457718372345, 0.4106929361820221, 0.2956610471010208, 0.5028284311294555, 0.7574621677398682]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6197372817567416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7754066966574336
32,S34,724,7,abl_no_fusion_transformer,5,2512.16,0.848,5,0.62,0.6057,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 1, 0, 0, 0, 1]","[0.17656415551900864, 0.38200865387916566, 0.5280920922756195, 0.232389834523201, 0.24576837122440337, 0.3316629469394684, 0.6192533373832703]",0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6406086583222662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7062204129068768
33,S35,738,6,abl_no_fusion_transformer,5,840.48,0.847,5,0.47,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1]","[0.2753568381071091, 0.286779323220253, 0.36490021347999574, 0.3041559249162674, 0.2884767115116119, 0.4677047967910767]",0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6580059642593066,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.8218202267083554
