fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,abl_no_graph,6,637.41,0.189,5,0.45,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.2641377478837967, 0.2982975035905838, 0.31768822968006133, 0.3679040282964706, 0.42382157444953916, 0.25918989777565005, 0.40976073145866393]",0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.47519498552594863,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5710872869843928
38,S40,742,7,abl_no_graph,6,768.65,0.189,5,0.44,0.2636,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.3909517079591751, 0.619594407081604, 0.26094959266483786, 0.7600187659263611, 0.2717732131481171, 0.4170758932828903, 0.621393358707428]",0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.8,0.75,0.5677671970533472,0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.8,0.75,0.6389236574527053
40,S42,730,7,abl_no_graph,6,878.69,0.189,5,0.48,0.7232,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.3454573258757591, 0.14074303433299065, 0.2124919829890132, 0.12493381910026073, 0.8472867250442505, 0.3125062197446823, 0.8623331189155579]",0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.5,0.41666666666666663,0.5104982088453003,0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.5,0.41666666666666663,0.6187842351956613
41,S43,742,7,abl_no_graph,6,615.8,0.189,5,0.43,0.1124,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.5003998100757598, 0.6961007833480835, 0.5571944713592529, 0.7362924456596375, 0.7402541995048523, 0.5128796875476838, 0.6007860541343689]",0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.2567200694765363,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.17939603158387005
32,S34,724,7,abl_no_graph,5,626.21,0.19,5,0.77,1.9311,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 1, 0, 0, 0, 1]","[0.2060028299689293, 0.34427891075611117, 0.4105434864759445, 0.39669596701860427, 0.33675517588853837, 0.5416427105665207, 0.5247170925140381]",0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5833333333333333,0.4561672008463314,0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.8,0.5833333333333333,0.2951265209528955
33,S35,738,6,abl_no_graph,5,700.32,0.189,5,0.4,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1]","[0.10916587561368943, 0.08930098116397858, 0.1597798839211464, 0.22356522381305693, 0.2068236142396927, 0.33036726117134096]",0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.7569552804032961,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.8333333189814979
34,S36,738,7,abl_no_graph,5,613.9,0.189,5,0.05,1.0,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1]","[0.6218406438827515, 0.6441111922264099, 0.5659166932106018, 0.6381665706634522, 0.5737021327018738, 0.6263256669044495, 0.6442614674568177]",0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,0.0,0.0,0.5,0.6666666666666666,0.9484126984126984,0.24081080470766347,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,0.0,0.0,0.5,0.6666666666666666,0.9484126984126984,0.23447806614428246
35,S37,722,8,abl_no_graph,5,601.0,0.19,5,0.77,1.2006,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1, 1]","[0.23871784806251525, 0.2124899446964264, 0.38970295488834383, 0.2850967079401016, 0.29454995691776276, 0.24578570425510407, 0.23463840186595916, 0.7445814132690429]",0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.5833333333333333,0.6428571428571428,0.544304633513093,0.875,1.0,0.5,0.6666666666666666,0.6,0.6546536707079772,0.75,0.6666666666666667,0.6666666666666666,0.5294974731822024
36,S38,716,10,abl_no_graph,5,681.49,0.19,5,0.49,0.4558,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]","[0.4690968692302704, 0.20470151379704477, 0.21627482175827026, 0.3638190895318985, 0.5669780433177948, 0.37205842435359954, 0.8047181367874146, 0.7329447507858277, 0.7384806394577026, 0.7384710669517517]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4792456644028425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47875411119687766
13,S15,742,6,abl_no_graph,2,631.95,0.189,5,0.43,1.0877,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.31048741191625595, 0.30760675817728045, 0.28108071684837344, 0.7166578292846679, 0.27818676829338074, 0.5467151641845703]",0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,0.6666666666666666,0.8333333333333333,0.42654422521591184,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,0.6666666666666666,0.8333333333333333,0.4262550395671413
