fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,abl_no_mmd,6,2065.24,0.858,5,0.48,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.3868148267269135, 0.39025471806526185, 0.3742399513721466, 0.4242795050144196, 0.5096719205379486, 0.3897558391094208, 0.48854958415031435]",0.8571428571428571,1.0,0.6666666666666666,0.8,0.6956521739130435,0.7302967433402214,0.8333333333333333,1.0,1.0,0.5517274047647204,0.7142857142857143,1.0,0.3333333333333333,0.5,0.36363636363636376,0.47140452079103173,0.6666666666666666,1.0,1.0,0.6568606328317111
38,S40,742,7,abl_no_mmd,6,1307.54,0.858,5,0.47,0.2896,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.43719921112060545, 0.5872328221797943, 0.3654231265187263, 0.817794394493103, 0.41660588681697847, 0.4423111617565155, 0.553561931848526]",0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.8,0.75,0.38020871047462734,0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.8,0.75,0.5967729731257875
40,S42,730,7,abl_no_mmd,6,2529.72,0.859,5,0.45,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.44790086448192595, 0.316002631187439, 0.5125845372676849, 0.3251272618770599, 0.6706847548484802, 0.2747601330280304, 0.3498883038759232]",0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.6,0.6666666666666666,0.44688865542411804,0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.6,0.6666666666666666,0.6752117534384514
41,S43,742,7,abl_no_mmd,6,1103.19,0.858,5,0.49,0.2118,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.5072797000408172, 0.6669551312923432, 0.537770289182663, 0.7125531196594238, 0.7331748902797699, 0.474797910451889, 0.5679987907409668]",0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.2570671669074467,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.2468581061704192
13,S15,742,6,abl_no_mmd,2,2127.23,0.858,5,0.44,0.8042,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.2928732454776764, 0.31233025193214414, 0.3444091320037842, 0.7427547335624695, 0.5174748778343201, 0.6767505407333374]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5189012030760447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5214265095213708
15,S17,740,7,abl_no_mmd,2,953.21,0.858,5,0.44,0.2167,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 0, 1, 1]","[0.3804537534713745, 0.6098844408988953, 0.6206108808517456, 0.5539809405803681, 0.39600173830986024, 0.6660229682922363, 0.5487602829933167]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46061214208602896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36626782406260266
16,S18,722,14,abl_no_mmd,2,1446.33,0.859,5,0.47,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[0.46962677240371703, 0.7612464189529419, 0.3490510404109955, 0.4516982138156891, 0.3719343662261963, 0.3562272220849991, 0.4023412048816681, 0.6214424967765808, 0.5727580606937408, 0.6735457420349121, 0.33243300318717955, 0.7598793745040894, 0.6509986996650696, 0.7103023648262023]",0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8979591836734694,0.9404761904761902,0.40443079578024993,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8979591836734694,0.9404761904761902,0.4929294982742891
17,S19,724,17,abl_no_mmd,2,1665.26,0.859,5,0.05,1.0,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]","[0.5165889024734497, 0.5170232772827148, 0.5108318388462066, 0.5171340048313141, 0.5113408625125885, 0.5175815105438233, 0.5148685276508331, 0.5114949703216553, 0.5220866918563842, 0.5158047556877137, 0.512154883146286, 0.5130380094051361, 0.5196035146713257, 0.5180117011070251, 0.5176711082458496, 0.5168464064598084, 0.5130566596984864]",0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.7285714285714286,0.6781135531135531,0.1038316249847413,0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.7285714285714286,0.6781135531135531,0.10383903006564832
18,S20,728,7,abl_no_mmd,2,1051.36,0.859,5,0.47,0.055,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1, 1]","[0.27345981597900393, 0.2899842143058777, 0.2877108693122864, 0.4750783145427704, 0.308856138586998, 0.43875772356987, 0.8031619787216187]",0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.9,0.8333333333333333,0.4461415635687965,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.9,0.8333333333333333,0.6933119822838898
25,S27,726,7,abl_no_mmd,4,2146.03,0.859,5,0.34,0.1357,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.4404348790645599, 0.4003806054592133, 0.25669276118278506, 0.6489791750907898, 0.43748844265937803, 0.2438788503408432, 0.7655746459960937]",0.42857142857142855,0.2,1.0,0.3333333333333333,0.125,0.2581988897471611,0.6666666666666666,1.0,1.0,0.586361284341131,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.809642682564607
