fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,abl_no_neuro_symbolic,6,752.95,0.858,5,0.49,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.36848211884498594, 0.36490068435668943, 0.35721187591552733, 0.4067148983478546, 0.520905339717865, 0.3852363467216492, 0.5030078709125518]",0.8571428571428571,1.0,0.6666666666666666,0.8,0.6956521739130435,0.7302967433402214,0.8333333333333333,1.0,1.0,0.558138665982655,0.8571428571428571,1.0,0.6666666666666666,0.8,0.6956521739130435,0.7302967433402214,0.8333333333333333,1.0,1.0,0.65679538620894
38,S40,742,7,abl_no_neuro_symbolic,6,952.44,0.858,5,0.45,0.4327,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.38012332916259767, 0.45307435393333434, 0.3631847247481346, 0.6914379954338074, 0.3689292699098587, 0.3610918417572975, 0.5171652019023896]",0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.5,0.6428571428571428,0.4141890981367656,0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.6,0.6666666666666666,0.49549172468611963
40,S42,730,7,abl_no_neuro_symbolic,6,938.82,0.859,5,0.49,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.43312541842460633, 0.28160475492477416, 0.4625966250896454, 0.30568239092826843, 0.5411643803119659, 0.27301315814256666, 0.3784406900405884]",0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.47491036887679783,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.7118537846821514
41,S43,742,7,abl_no_neuro_symbolic,6,983.32,0.858,5,0.53,0.3185,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.4438004493713379, 0.7199784636497497, 0.5029520034790039, 0.7698272943496705, 0.8031492590904236, 0.4574325859546661, 0.5927203297615051]",0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.3871628020490919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2989526092712613
25,S27,726,7,abl_no_neuro_symbolic,4,845.83,0.859,5,0.38,0.0811,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.40230422019958495, 0.39047991037368773, 0.28794379234313966, 0.6189751863479614, 0.35969303250312806, 0.2979708075523376, 0.705116081237793]",0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.5964953345911843,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.8551325079536349
26,S28,744,7,abl_no_neuro_symbolic,4,881.97,0.858,5,0.32,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[1, 0, 0, 0, 1, 1, 0]","[0.5752293944358826, 0.4844767153263092, 0.5116692781448364, 0.6153629779815674, 0.685261607170105, 0.7783505201339722, 0.6579261541366577]",0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.8333333333333333,0.8666666666666667,0.2546603109155382,0.5714285714285714,0.5,1.0,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.625,0.8333333333333333,0.8666666666666667,0.49522619199348095
27,S29,718,20,abl_no_neuro_symbolic,4,792.43,0.859,5,0.44,0.1543,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0.5953126072883606, 0.595027506351471, 0.6474817991256714, 0.5621345400810241, 0.6463226199150085, 0.6223060607910156, 0.6365464687347412, 0.6142948508262634, 0.5395204663276673, 0.6276418328285217, 0.5849285840988159, 0.5615839004516602, 0.6453616142272949, 0.6546366214752197, 0.6510830283164978, 0.6236531972885132, 0.621377694606781, 0.6072792649269104, 0.5400638103485107, 0.52459756731987]",0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.8627450980392157,0.9759165430878234,0.24494229823350905,0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.8627450980392157,0.9759165430878234,0.1329911382809141
28,S30,704,13,abl_no_neuro_symbolic,4,802.41,0.86,5,0.5,0.1499,0.7,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.31126305311918256, 0.6591618716716766, 0.18227752596139907, 0.17291635721921922, 0.14752631597220897, 0.18008674755692483, 0.6474124491214752, 0.13288950435817243, 0.17822939082980155, 0.15544578582048416, 0.1481902003288269, 0.6736259698867798, 0.4053911089897156]",0.9230769230769231,0.6666666666666666,1.0,0.8,0.7547169811320754,0.778498944161523,0.9545454545454546,1.0,1.0,0.615814132243395,0.9230769230769231,0.6666666666666666,1.0,0.8,0.7547169811320754,0.778498944161523,0.9545454545454546,1.0,1.0,0.820778134771854
30,S32,744,7,abl_no_neuro_symbolic,4,824.56,0.858,5,0.41,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.4682279586791992, 0.3535150349140167, 0.38644894361495974, 0.47034727931022646, 0.4065695941448212, 0.4223683953285217, 0.6897861123085022]",0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.5432480973856789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8356321711892917
13,S15,742,6,abl_no_neuro_symbolic,2,950.95,0.858,5,0.41,1.0751,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.311541323363781, 0.2972543716430664, 0.31626281291246416, 0.6701697826385498, 0.565302973985672, 0.6819855570793152]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5262471963961919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53633105794394
15,S17,740,7,abl_no_neuro_symbolic,2,811.16,0.858,5,0.46,0.1634,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 0, 1, 1]","[0.4148201525211334, 0.6088638484477997, 0.6317958831787109, 0.5559940099716186, 0.4291309595108032, 0.6634968280792236, 0.5555381774902344]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44862287725721084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3227056127653093
16,S18,722,14,abl_no_neuro_symbolic,2,793.04,0.859,5,0.48,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[0.4227097690105438, 0.6993903517723083, 0.3736833333969116, 0.529336416721344, 0.39401288628578185, 0.40909563899040224, 0.4046052098274231, 0.5950527667999268, 0.571444320678711, 0.6610104084014893, 0.3837293028831482, 0.698181402683258, 0.6278202891349792, 0.681705629825592]",0.7857142857142857,0.75,0.8571428571428571,0.8,0.5714285714285714,0.5773502691896257,0.7857142857142857,0.9387755102040816,0.9571428571428571,0.3528492344277246,0.7857142857142857,0.75,0.8571428571428571,0.8,0.5714285714285714,0.5773502691896257,0.7857142857142857,0.9387755102040816,0.9571428571428571,0.4934568213190774
17,S19,724,17,abl_no_neuro_symbolic,2,765.63,0.859,5,0.05,1.0,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]","[0.4259213745594025, 0.44239367842674254, 0.41813830137252805, 0.586358118057251, 0.4086139976978302, 0.5760543942451477, 0.4943962633609772, 0.490774804353714, 0.5754477262496949, 0.40421984195709226, 0.5293726861476898, 0.6061472296714783, 0.5811682224273682, 0.6076063394546509, 0.6070339798927307, 0.6093617796897888, 0.527508556842804]",0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.9285714285714285,0.9214285714285715,0.34478247726664824,0.8235294117647058,0.7,1.0,0.8235294117647058,0.6577181208053692,0.7,0.85,0.9285714285714285,0.9214285714285715,0.3452909310560177
