fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,abl_no_roi,6,1966.79,0.858,5,0.48,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.3596061408519745, 0.3692739725112915, 0.34380589723587035, 0.39300504326820374, 0.5031287014484406, 0.366290819644928, 0.45321924686431886]",0.7142857142857143,1.0,0.3333333333333333,0.5,0.36363636363636376,0.47140452079103173,0.6666666666666666,1.0,1.0,0.4454440959862301,0.7142857142857143,1.0,0.3333333333333333,0.5,0.36363636363636376,0.47140452079103173,0.6666666666666666,1.0,1.0,0.630638947554952
38,S40,742,7,abl_no_roi,6,1874.83,0.858,5,0.47,0.7581,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.3378525197505951, 0.4765194058418274, 0.36509937047958374, 0.7526192665100098, 0.43941197395324705, 0.41926681995391846, 0.4895434260368347]",0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.7,0.7,0.38852674535342624,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.39877147147836317
40,S42,730,7,abl_no_roi,6,1051.18,0.858,5,0.51,0.0895,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.45247308611869813, 0.3355359137058258, 0.43174723982810975, 0.338640558719635, 0.5637894868850708, 0.3219934105873108, 0.40765013098716735]",0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.4497385961668831,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.6988232172034201
41,S43,742,7,abl_no_roi,6,3849.29,0.858,5,0.41,0.2069,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.4782035887241364, 0.722485613822937, 0.5135348439216614, 0.7420616149902344, 0.759458041191101, 0.48487982153892517, 0.585696816444397]",0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.38766852276665825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25317360791419374
13,S15,742,6,abl_no_roi,2,2015.08,0.858,5,0.45,0.5237,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.34839906096458434, 0.3432449609041214, 0.34598330557346346, 0.6701385736465454, 0.4036561906337738, 0.6117041409015656]",0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.5140310247739157,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.5297878417191135
15,S17,740,7,abl_no_roi,2,1730.88,0.858,5,0.44,0.1882,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 0, 1, 1]","[0.39561358094215393, 0.5521359026432038, 0.5740659952163696, 0.508407199382782, 0.4025139451026917, 0.619098174571991, 0.5090538799762726]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4913016174520765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45494597686249283
16,S18,722,14,abl_no_roi,2,966.57,0.859,5,0.45,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[0.47531304359436033, 0.7273004055023193, 0.3255957365036011, 0.48411678671836855, 0.36662010550498964, 0.3872923612594604, 0.415871262550354, 0.6320900321006775, 0.5685277462005616, 0.6488570451736451, 0.33956177830696105, 0.7066236019134522, 0.6196929693222046, 0.6824911952018737]",0.7142857142857143,0.6666666666666666,0.8571428571428571,0.75,0.4285714285714286,0.4472135954999579,0.7142857142857142,0.9183673469387754,0.9480519480519478,0.41122153018202096,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.9183673469387754,0.9480519480519478,0.47571661420124894
17,S19,724,17,abl_no_roi,2,2331.84,0.859,5,0.05,1.0,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]","[0.5243137240409851, 0.5279307723045349, 0.5201894879341126, 0.5350348114967346, 0.5215003073215485, 0.5404185771942138, 0.5327914357185364, 0.5326526880264282, 0.5442070960998535, 0.5227852046489716, 0.5326457381248474, 0.5408895611763, 0.5348844289779663, 0.5427338361740113, 0.5468032836914063, 0.5428246021270752, 0.5351296305656433]",0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.9714285714285714,0.9617346938775511,0.1222197168013629,0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334,0.0,0.0,0.5,0.9714285714285714,0.9617346938775511,0.1222612981919654
18,S20,728,7,abl_no_roi,2,6042.89,0.859,5,0.43,0.1277,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1, 1]","[0.24866520166397094, 0.2533070474863052, 0.22320058643817903, 0.4373875617980957, 0.26746869683265684, 0.46490946412086487, 0.746647572517395]",0.8571428571428571,0.6666666666666666,1.0,0.8,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.4797734098775046,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.7327676770059851
25,S27,726,7,abl_no_roi,4,2261.75,0.859,5,0.51,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.38963029980659486, 0.3736829549074173, 0.2273801788687706, 0.6497030258178711, 0.3832440495491028, 0.20816266983747483, 0.769658088684082]",0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.6139921120234897,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.85712268681611
26,S28,744,7,abl_no_roi,4,1724.18,0.858,5,0.35,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[1, 0, 0, 0, 1, 1, 0]","[0.6345113039016723, 0.49341354966163636, 0.580764752626419, 0.6687331080436707, 0.6867321848869323, 0.8402850389480591, 0.7344354867935181]",0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.75,0.7555555555555555,0.2845035791397095,0.5714285714285714,0.5,1.0,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.625,0.75,0.7555555555555555,0.5185028956318477
27,S29,718,20,abl_no_roi,4,1042.17,0.859,5,0.43,0.2249,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0.6863476753234863, 0.6979195952415467, 0.7362259030342102, 0.6828123688697815, 0.7222631692886352, 0.7143629789352417, 0.7237494468688965, 0.7103368878364563, 0.6121226906776428, 0.6978647708892822, 0.6975193858146668, 0.6540489554405212, 0.7054768562316894, 0.7407911896705628, 0.7316139698028564, 0.712575376033783, 0.7128309369087219, 0.6982574582099914, 0.5462352633476257, 0.539249062538147]",0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.9019607843137256,0.9840397923875432,0.17241823554039,0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.9019607843137256,0.9840397923875432,0.13053836433706342
28,S30,704,13,abl_no_roi,4,3798.26,0.86,5,0.41,0.2798,0.4065,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.3564594566822052, 0.6032933533191681, 0.21975127458572388, 0.19203001707792283, 0.07413652257528155, 0.2397146724164486, 0.5934485852718353, 0.05159280768129974, 0.14366002902388572, 0.1890707604587078, 0.1280969649553299, 0.7389454960823059, 0.46660407781600954]",0.8461538461538461,0.5,1.0,0.6666666666666666,0.5806451612903225,0.6396021490668313,0.9090909090909092,1.0,1.0,0.7069302425075036,0.8461538461538461,0.5,1.0,0.6666666666666666,0.5806451612903225,0.6396021490668313,0.9090909090909092,0.9545454545454545,0.8333333333333333,0.7464594532295576
30,S32,744,7,abl_no_roi,4,4858.18,0.858,5,0.47,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.5740328431129456, 0.3773354470729828, 0.3839911162853241, 0.5710471868515015, 0.4240442931652069, 0.5112945795059204, 0.6906680226325989]",0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.5400479614734649,0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.8157971694332824
32,S34,724,7,abl_no_roi,5,2159.66,0.859,5,0.68,0.6756,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 1, 0, 0, 0, 1]","[0.22320404648780823, 0.43803334832191465, 0.5117960870265961, 0.28991498947143557, 0.2726132422685623, 0.37846471667289733, 0.6236456871032715]",0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6089039832353592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6524861033057402
33,S35,738,6,abl_no_roi,5,1950.91,0.858,5,0.48,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1]","[0.2468121588230133, 0.23954089134931564, 0.3042044132947922, 0.24337443858385086, 0.24326176792383195, 0.5081240177154541]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7024470520516236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8886269411802787
34,S36,738,7,abl_no_roi,5,989.03,0.858,5,0.05,1.0,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1]","[0.5305472016334534, 0.5288728713989258, 0.526716434955597, 0.5269935727119446, 0.5291783928871154, 0.5284339666366578, 0.5289976119995117]",0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,0.0,0.0,0.5,0.0,0.7345238095238095,0.32860856396811344,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,0.0,0.0,0.5,0.0,0.7345238095238095,0.328570807771397
35,S37,722,8,abl_no_roi,5,4534.47,0.859,5,0.53,0.5699,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1, 1]","[0.2742126613855362, 0.21008967906236647, 0.2675487548112869, 0.23087656050920485, 0.2994250416755676, 0.2490784466266632, 0.43783512711524963, 0.7064191699028015]",0.875,1.0,0.5,0.6666666666666666,0.6,0.6546536707079772,0.75,1.0,1.0,0.6500231016427278,0.875,1.0,0.5,0.6666666666666666,0.6,0.6546536707079772,0.75,1.0,1.0,0.7248475617495719
36,S38,716,10,abl_no_roi,5,4913.43,0.859,5,0.56,0.1843,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]","[0.5832434058189392, 0.1368718057870865, 0.19161254167556763, 0.21496066451072693, 0.6088502526283264, 0.27787981629371644, 0.8103796720504761, 0.5216233432292938, 0.7223726868629455, 0.747912859916687]",0.8,0.8,0.8,0.8,0.6,0.6,0.8,0.9600000000000001,0.9666666666666666,0.43940264493227005,0.9,0.8333333333333334,1.0,0.9090909090909091,0.8,0.816496580927726,0.9,0.9600000000000001,0.9666666666666666,0.5330821662822541
19,S21,742,6,abl_no_roi,3,1722.86,0.858,5,0.45,0.1608,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1]","[0.5235000908374786, 0.420530104637146, 0.4891703128814697, 0.5487550854682922, 0.4274229407310486, 0.4608115017414093]",0.5,0.25,1.0,0.4,0.18181818181818188,0.31622776601683794,0.7,0.4,0.25,0.37905338605244954,0.5,0.0,0.0,0.0,-0.2857142857142856,-0.31622776601683794,0.3,0.4,0.25,0.6681905585204901
20,S22,716,14,abl_no_roi,3,1613.1,0.859,5,0.51,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[0.39100176095962524, 0.36752585768699647, 0.3527658015489578, 0.5022679209709168, 0.4643162667751312, 0.43282329440116885, 0.5206828236579895, 0.5950817108154297, 0.6475403785705567, 0.561670970916748, 0.45663723945617674, 0.4275694668292999, 0.4348327279090881, 0.4630380034446716]",0.42857142857142855,1.0,0.3333333333333333,0.5,0.125,0.2581988897471611,0.6666666666666666,0.875,0.9811507936507938,0.2830904724342481,0.5,1.0,0.4166666666666667,0.5882352941176471,0.1694915254237288,0.3042903097250923,0.7083333333333334,0.875,0.9811507936507938,0.17723634369877106
21,S23,716,12,abl_no_roi,3,1404.81,0.859,5,0.54,0.1027,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.2440311148762703, 0.21854078322649, 0.24380705058574675, 0.2547051727771759, 0.22568345069885254, 0.5223064661026001, 0.7896900296211242, 0.8260449290275573, 0.7084934830665588, 0.6840538740158081, 0.7992385864257813, 0.7997080326080322]",0.9166666666666666,1.0,0.8571428571428571,0.9230769230769231,0.8333333333333334,0.8451542547285166,0.9285714285714286,1.0,0.9999999999999998,0.47364141891400025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.44072356905454085
22,S24,730,13,abl_no_roi,3,3910.65,0.858,5,0.42,0.5821,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]","[0.5446731925010682, 0.17117504626512528, 0.20201320052146912, 0.17892375141382216, 0.26254683136940005, 0.40106803476810454, 0.25881643295288087, 0.8079734086990357, 0.7153296768665314, 0.6976098895072937, 0.8103355169296265, 0.7901204466819763, 0.20632213801145555]",0.9230769230769231,0.8333333333333334,1.0,0.9090909090909091,0.8433734939759037,0.8539125638299666,0.9375,1.0,1.0,0.541726062962642,0.9230769230769231,0.8333333333333334,1.0,0.9090909090909091,0.8433734939759037,0.8539125638299666,0.9375,1.0,1.0,0.5607373291509112
23,S25,728,14,abl_no_roi,3,4691.98,0.858,5,0.4,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1]","[0.5300472795963287, 0.596608579158783, 0.6066939830780029, 0.6559336900711059, 0.4497311055660248, 0.600943648815155, 0.7120514512062073, 0.7135515928268432, 0.629401957988739, 0.6640737056732178, 0.6877695083618164, 0.6463284373283387, 0.35424028635025023, 0.6598165273666382]",0.6428571428571429,0.6153846153846154,1.0,0.7619047619047619,0.18604651162790686,0.32025630761017426,0.5833333333333334,0.875,0.9159722222222222,0.26757999743734084,0.7142857142857143,0.6666666666666666,1.0,0.8,0.36363636363636376,0.47140452079103173,0.6666666666666666,0.8541666666666667,0.8951388888888889,0.421559511022635
