fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,abl_no_snn,6,14304.17,0.856,5,0.48,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.3984010875225067, 0.42212692499160764, 0.37545728087425234, 0.4343369245529175, 0.5417024612426757, 0.3888236522674561, 0.5154755175113678]",0.8571428571428571,1.0,0.6666666666666666,0.8,0.6956521739130435,0.7302967433402214,0.8333333333333333,1.0,1.0,0.4176680215767452,0.8571428571428571,1.0,0.6666666666666666,0.8,0.6956521739130435,0.7302967433402214,0.8333333333333333,1.0,1.0,0.6072032666176429
38,S40,742,7,abl_no_snn,6,19739.72,0.856,5,0.48,0.5924,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.4506890833377838, 0.4722371518611908, 0.44697716236114504, 0.661066198348999, 0.4557927131652832, 0.44625345468521116, 0.5012824773788452]",0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.5,0.6428571428571428,0.36689524480274743,0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.5,0.6428571428571428,0.37589169844321324
40,S42,730,7,abl_no_snn,6,16490.71,0.857,5,0.46,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.3993760049343109, 0.32827112078666687, 0.48192083835601807, 0.3173069953918457, 0.5705843687057495, 0.2659552276134491, 0.40940672159194946]",0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.7,0.7,0.46102553180285855,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.6886878834131223
41,S43,742,7,abl_no_snn,6,19219.38,0.856,5,0.45,0.2331,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.4612937390804291, 0.7105352878570557, 0.5678010225296021, 0.7355072259902954, 0.77711101770401, 0.4984786331653595, 0.6010538220405579]",0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.3783170359475272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22700589898506224
32,S34,724,7,abl_no_snn,5,13613.0,0.857,5,0.65,0.6183,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 1, 0, 0, 0, 1]","[0.287881064414978, 0.361941921710968, 0.43335185647010804, 0.30388575196266177, 0.3018210768699646, 0.32892332077026365, 0.627381157875061]",0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6030739375523159,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.6542075467515795
33,S35,738,6,abl_no_snn,5,13187.56,0.856,5,0.46,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 1]","[0.358728763461113, 0.3600189685821533, 0.3966557443141937, 0.35045334994792937, 0.3503758400678635, 0.5352768957614898]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6080817396442095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8421877207954991
34,S36,738,7,abl_no_snn,5,15291.94,0.856,5,0.05,1.0,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1]","[0.5259371340274811, 0.5775972366333008, 0.5052055239677429, 0.556696617603302, 0.5220223486423492, 0.5324853777885437, 0.5799663543701172]",0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,0.0,0.0,0.5,0.6666666666666666,0.9484126984126984,0.3142984867095947,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231,0.0,0.0,0.5,0.6666666666666666,0.9484126984126984,0.3136674928472434
35,S37,722,8,abl_no_snn,5,12579.87,0.857,5,0.62,0.4881,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1, 1]","[0.2906417191028595, 0.212360018491745, 0.25485154390335085, 0.2924861252307892, 0.29578210711479186, 0.29103686213493346, 0.4179002046585083, 0.6102212548255921]",0.75,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6463150717318058,0.875,1.0,0.5,0.6666666666666666,0.6,0.6546536707079772,0.75,1.0,1.0,0.7376837552074201
36,S38,716,10,abl_no_snn,5,16195.21,0.858,5,0.5,0.3288,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]","[0.4411730349063873, 0.14968376755714416, 0.17871490865945816, 0.20313602387905122, 0.4926529347896576, 0.3696381986141205, 0.7887596130371094, 0.5709485650062561, 0.6519042253494263, 0.6568990230560303]",0.9,1.0,0.8,0.8888888888888888,0.8,0.816496580927726,0.9,1.0,1.0,0.4496489705145359,0.9,1.0,0.8,0.8888888888888888,0.8,0.816496580927726,0.9,1.0,1.0,0.5511939934631036
13,S15,742,6,abl_no_snn,2,13270.34,0.856,5,0.45,1.0918,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.33784027099609376, 0.3735564470291138, 0.33230791687965394, 0.7292076110839844, 0.4667434632778168, 0.6550853610038757]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5064576427141825,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.5053162597706591
