fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,abl_ns_explain_only,6,899.8,0.858,5,0.43,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.3663750350475311, 0.37778151631355283, 0.35633842945098876, 0.40475056171417234, 0.47598432302474974, 0.3736658453941345, 0.4817547380924225]",0.8571428571428571,1.0,0.6666666666666666,0.8,0.6956521739130435,0.7302967433402214,0.8333333333333333,1.0,1.0,0.5554755423750196,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6163247580188794
38,S40,742,7,abl_ns_explain_only,6,878.02,0.858,5,0.45,0.6051,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.3466562688350677, 0.40656076073646547, 0.41758111119270325, 0.6470127105712891, 0.4055635094642639, 0.40542336106300353, 0.47488746643066404]",0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.6,0.6666666666666666,0.41375925881522047,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.44914354452448224
40,S42,730,7,abl_ns_explain_only,6,1130.3,0.859,5,0.44,0.1681,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.5107456743717194, 0.33369051814079287, 0.4808532416820526, 0.3187616169452667, 0.6056172013282776, 0.3307990819215775, 0.42228434085845945]",0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.7,0.7,0.4312485247850418,0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.7,0.7,0.5808941247478959
41,S43,742,7,abl_ns_explain_only,6,1114.6,0.858,5,0.46,0.221,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.4197112679481506, 0.657835042476654, 0.503084808588028, 0.6766799330711365, 0.6829372525215149, 0.4385534167289734, 0.6159631490707398]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42931930422782905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31686200088524513
25,S27,726,7,abl_ns_explain_only,4,989.5,0.859,5,0.37,0.1233,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.41436169147491453, 0.40992199182510375, 0.2828769594430923, 0.6505568623542786, 0.3426221787929535, 0.27107842862606046, 0.7234155297279358]",0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,1.0,1.0,0.6008971546377455,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.8410288391350089
26,S28,744,7,abl_ns_explain_only,4,918.17,0.858,5,0.34,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[1, 0, 0, 0, 1, 1, 0]","[0.5561820149421692, 0.4819928526878357, 0.5118749260902404, 0.6046146392822266, 0.6405140638351441, 0.775145971775055, 0.6562977194786072]",0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.75,0.7555555555555555,0.24462064845221385,0.5714285714285714,0.5,1.0,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.625,0.75,0.7555555555555555,0.5031035705092536
27,S29,718,20,abl_ns_explain_only,4,866.24,0.859,5,0.49,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0.510274201631546, 0.5127837300300598, 0.5173134565353393, 0.5118933260440827, 0.5180969119071961, 0.5157859146595001, 0.5163380801677704, 0.5172756910324097, 0.5006927669048309, 0.5151688694953919, 0.5159016251564026, 0.5123023569583893, 0.514307951927185, 0.521431851387024, 0.5209461569786071, 0.51634002327919, 0.5176741719245911, 0.5140344083309174, 0.49631622433662415, 0.5086278319358826]",0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.9803921568627452,0.9967320261437909,0.38632472246885297,0.9,0.8947368421052632,1.0,0.9444444444444444,0.45945945945945954,0.5461186812727502,0.6666666666666666,0.9803921568627452,0.9967320261437909,0.2020031245894246
28,S30,704,13,abl_ns_explain_only,4,1209.36,0.86,5,0.45,0.4558,0.5371,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.2139125183224678, 0.6642597794532776, 0.13165952563285827, 0.1338200956583023, 0.08923793993890286, 0.1438306152820587, 0.6069224953651429, 0.07956028524786234, 0.13019927144050597, 0.13861823976039886, 0.13284202963113784, 0.7682113528251648, 0.4043522894382477]",0.9230769230769231,0.6666666666666666,1.0,0.8,0.7547169811320754,0.778498944161523,0.9545454545454546,1.0,1.0,0.6849952393569626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6970912882723936
30,S32,744,7,abl_ns_explain_only,4,850.12,0.858,5,0.42,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.5047032535076141, 0.3546192407608032, 0.3942235827445984, 0.49144892692565917, 0.4295318901538849, 0.43352982997894285, 0.6530627727508544]",0.42857142857142855,0.2,1.0,0.3333333333333333,0.125,0.2581988897471611,0.6666666666666666,1.0,1.0,0.5354695728846959,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.7518404171523705
13,S15,742,6,abl_ns_explain_only,2,987.32,0.858,5,0.4,0.8081,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.3429961323738098, 0.334688276052475, 0.3326600581407547, 0.6774927496910095, 0.4501562476158142, 0.6408832848072052]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5202392910917599,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.5308928729346162
