accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,fold,test_subject,train_n,test_n,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal,T_post,opt_threshold_cal,val_subject
0.4666666666666667,1.0,0.2727272727272727,0.42857142857142855,0.16666666666666674,0.30151134457776363,0.6363636363636364,0.75,0.9153485403485404,0.31685075176258887,1,S01,363,15,0.4666666666666667,1.0,0.2727272727272727,0.42857142857142855,0.16666666666666674,0.30151134457776363,0.6363636363636364,0.75,0.9153485403485404,0.28212536772092184,5.0,0.5,S28
0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.5,0.3666666666666667,0.6510695852339268,2,S02,364,7,0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.5,0.3666666666666667,0.2970278603690011,5.0,0.5,S18
0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.0,0.0,0.5,0.4,0.25,0.7674312094847362,3,S03,371,6,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.0,0.0,0.5,0.4,0.25,0.5228028496106465,4.9829,0.5,S37
0.25,0.4,0.4,0.4,-0.6000000000000001,-0.6,0.2,0.33333333333333337,0.6726190476190477,0.3126107389689423,4,S05,361,8,0.25,0.4,0.4,0.4,-0.6000000000000001,-0.6,0.2,0.33333333333333337,0.6726190476190477,0.2838049530982971,5.0,0.5,S08
0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.5,0.125,0.3988095238095238,0.49865835905075073,5,S06,369,8,0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.5,0.125,0.3988095238095238,0.323569655418396,5.0,0.5,S05
0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.25,0.4206349206349206,0.570005510534559,6,S07,364,7,0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.25,0.4206349206349206,0.4995443991252354,5.0,0.5,S18
0.5625,0.0,0.0,0.0,-0.1200000000000001,-0.2,0.45,0.43333333333333335,0.36666666666666664,0.4152522999793291,7,S08,360,16,0.5625,0.0,0.0,0.0,-0.1200000000000001,-0.2,0.45,0.43333333333333335,0.36666666666666664,0.41525230975821614,1.0,0.5,S41
0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.3125,0.7347222222222223,0.19815663567278535,8,S09,355,10,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.3125,0.7347222222222223,0.019173690676689153,5.0,0.3,S29
0.4166666666666667,0.36363636363636365,1.0,0.5333333333333333,0.08695652173913038,0.21320071635561041,0.5625,0.46875,0.5159090909090909,0.6369511733452479,9,S10,366,12,0.4166666666666667,0.36363636363636365,1.0,0.5333333333333333,0.08695652173913038,0.21320071635561041,0.5625,0.46875,0.5159090909090909,0.42496305207411456,5.0,0.5,S02
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,0.4,0.6861904761904761,0.30449427025658743,10,S12,372,7,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,0.4,0.6861904761904761,0.389068569455828,5.0,0.5,S21
0.8333333333333334,0.6666666666666666,1.0,0.8,0.6666666666666667,0.7071067811865476,0.875,0.75,0.5833333333333333,0.6233419444179162,11,S13,359,6,0.8333333333333334,0.6666666666666666,1.0,0.8,0.6666666666666667,0.7071067811865476,0.875,0.75,0.5833333333333333,0.42697961628437037,5.0,0.5191,S29
0.5,0.75,0.5,0.6,0.0,0.0,0.5,0.5,0.8357142857142856,0.28753452375531197,12,S14,370,8,0.5,0.75,0.5,0.6,0.0,0.0,0.5,0.5,0.8357142857142856,0.2611686512827873,5.0,0.5,S34
0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6029152609407902,13,S15,359,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5037330041329066,5.0,0.3254,S29
0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.8829146010102704,14,S16,364,8,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.7016377616673708,5.0,0.5,S24
0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.21646893875939505,15,S17,365,7,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.2159790907587324,1.9033,0.5,S24
0.5714285714285714,0.6,0.42857142857142855,0.5,0.1428571428571429,0.14907119849998599,0.5714285714285714,0.6938775510204082,0.7210884353741496,0.4675312457340104,16,S18,365,14,0.5714285714285714,0.6,0.42857142857142855,0.5,0.1428571428571429,0.14907119849998599,0.5714285714285714,0.6938775510204082,0.7210884353741496,0.46795655760381905,0.9879,0.5,S13
0.6470588235294118,1.0,0.14285714285714285,0.25,0.16393442622950816,0.2988071523335984,0.5714285714285714,0.6,0.5802721088435374,0.5870123159359483,17,S19,361,17,0.6470588235294118,1.0,0.14285714285714285,0.25,0.16393442622950816,0.2988071523335984,0.5714285714285714,0.6,0.5802721088435374,0.49038027928156,5.0,0.5,S12
0.2857142857142857,0.2,0.5,0.2857142857142857,-0.2068965517241379,-0.3,0.35,0.2,0.26785714285714285,0.6212378995759147,18,S20,371,7,0.2857142857142857,0.2,0.5,0.2857142857142857,-0.2068965517241379,-0.3,0.35,0.2,0.26785714285714285,0.5183080179350716,3.1703,0.5,S40
0.3333333333333333,0.2,1.0,0.3333333333333333,0.0769230769230771,0.2,0.6,1.0,1.0,0.8070810796731772,19,S21,369,6,0.3333333333333333,0.2,1.0,0.3333333333333333,0.0769230769230771,0.2,0.6,1.0,1.0,0.6440365364154179,5.0,0.5,S09
0.6428571428571429,1.0,0.5833333333333334,0.7368421052631579,0.2857142857142857,0.40824829046386296,0.7916666666666667,0.8333333333333333,0.9735750360750363,0.2399057062076671,20,S22,365,14,0.6428571428571429,1.0,0.5833333333333334,0.7368421052631579,0.2857142857142857,0.40824829046386296,0.7916666666666667,0.8333333333333333,0.9735750360750363,0.23990570673985143,1.0,0.5,S33
0.5,0.6,0.42857142857142855,0.5,0.027027027027026973,0.02857142857142857,0.5142857142857142,0.4857142857142857,0.7126984126984126,0.3415376427195346,21,S23,360,12,0.5,0.6,0.42857142857142855,0.5,0.027027027027026973,0.02857142857142857,0.5142857142857142,0.4857142857142857,0.7126984126984126,0.26498283818364143,5.0,0.5,S24
0.6153846153846154,0.5,0.6,0.5454545454545454,0.2168674698795181,0.21957751641341997,0.6125,0.8,0.7753968253968253,0.5049451351738894,22,S24,365,13,0.6153846153846154,0.5,0.6,0.5454545454545454,0.2168674698795181,0.21957751641341997,0.6125,0.8,0.7753968253968253,0.36092072496047395,5.0,0.5,S42
0.7142857142857143,0.8333333333333334,0.625,0.7142857142857143,0.43999999999999995,0.4583333333333333,0.7291666666666667,0.8125,0.7602678571428573,0.4200367467211825,23,S25,357,14,0.7142857142857143,0.8333333333333334,0.625,0.7142857142857143,0.43999999999999995,0.4583333333333333,0.7291666666666667,0.8125,0.7602678571428573,0.45825428196362084,5.0,0.5,S22
0.5714285714285714,0.75,0.6,0.6666666666666666,0.08695652173913038,0.09128709291752768,0.55,0.7,0.9028571428571428,0.2689018113804715,24,S26,371,7,0.5714285714285714,0.75,0.6,0.6666666666666666,0.08695652173913038,0.09128709291752768,0.55,0.7,0.9028571428571428,0.1843112621988569,3.7291,0.5,S42
0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666663,0.16666666666666666,0.8571244077481553,25,S27,371,7,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666663,0.16666666666666666,0.8571244077499743,1.0,0.5,S44
0.7142857142857143,0.6,1.0,0.75,0.46153846153846156,0.5477225575051661,0.75,0.8333333333333334,0.8055555555555556,0.5113158524036407,26,S28,372,7,0.7142857142857143,0.6,1.0,0.75,0.46153846153846156,0.5477225575051661,0.75,0.8333333333333334,0.8055555555555556,0.36349027071680334,5.0,0.5,S21
0.5,1.0,0.4117647058823529,0.5833333333333334,0.17355371900826455,0.3082573996425538,0.7058823529411764,0.6274509803921569,0.9282054632673828,0.19920229772105813,27,S29,351,20,0.5,1.0,0.4117647058823529,0.5833333333333334,0.17355371900826455,0.3082573996425538,0.7058823529411764,0.6274509803921569,0.9282054632673828,0.2063847154378891,5.0,0.5,S25
0.15384615384615385,0.15384615384615385,1.0,0.26666666666666666,0.0,0.0,0.5,0.5909090909090908,0.24285714285714285,0.8018029469710131,28,S30,358,13,0.15384615384615385,0.15384615384615385,1.0,0.26666666666666666,0.0,0.0,0.5,0.5909090909090908,0.24285714285714285,0.5872170787591202,4.9999,0.5,S22
0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.9958448458928615,29,S31,367,8,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.8039685795083642,5.0,0.5,S38
