accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,fold,test_subject,train_n,test_n,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal,T_post,opt_threshold_cal,val_subject
0.7333333333333333,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.3181818181818181,0.3181818181818182,0.6590909090909092,0.7954545454545454,0.9198818857909766,0.2729055856664976,1,S01,363,15,0.7333333333333333,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.3181818181818181,0.3181818181818182,0.6590909090909092,0.7954545454545454,0.9198818857909767,0.28879404688874877,5.0,0.5,S28
0.7142857142857143,0.5,1.0,0.6666666666666666,0.46153846153846156,0.5477225575051661,0.8,0.9,0.8333333333333333,0.6910509451159409,2,S02,364,7,0.7142857142857143,0.5,1.0,0.6666666666666666,0.46153846153846156,0.5477225575051661,0.8,0.9,0.8333333333333333,0.48153737400259283,5.0,0.5,S18
0.5,0.0,0.0,0.0,-0.2857142857142856,-0.31622776601683794,0.3,0.4,0.25,0.8322664002197773,3,S03,371,6,0.5,0.0,0.0,0.0,-0.2857142857142856,-0.31622776601683794,0.3,0.4,0.25,0.7418048903346062,5.0,0.5,S37
0.625,0.6666666666666666,0.8,0.7272727272727273,0.1428571428571429,0.14907119849998599,0.5666666666666667,0.7333333333333334,0.8761904761904762,0.3879396319061925,4,S05,361,8,0.625,0.6666666666666666,0.8,0.7272727272727273,0.1428571428571429,0.14907119849998599,0.5666666666666667,0.7333333333333334,0.8761904761904762,0.38425445230677724,5.0,0.5,S08
0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.625,0.6916666666666667,0.4913832233287394,5,S06,369,8,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.625,0.6916666666666667,0.5410004234872758,5.0,0.5,S05
0.8571428571428571,0.75,1.0,0.8571428571428571,0.72,0.75,0.875,0.8333333333333334,0.8055555555555556,0.6181994501634367,6,S07,364,7,0.8571428571428571,0.75,1.0,0.8571428571428571,0.72,0.75,0.875,0.8333333333333334,0.8055555555555556,0.5716316009472523,5.0,0.5,S18
0.5,0.4,0.6666666666666666,0.5,0.05882352941176472,0.06666666666666667,0.5333333333333333,0.6499999999999999,0.48601398601398604,0.39496815315214917,7,S08,360,16,0.5,0.4,0.6666666666666666,0.5,0.05882352941176472,0.06666666666666667,0.5333333333333333,0.6499999999999999,0.48601398601398604,0.3949681540616439,1.0,0.5,S41
0.8,0.875,0.875,0.875,0.375,0.375,0.6875,0.5,0.8227678571428572,0.2200396654196084,8,S09,355,10,0.8,0.875,0.875,0.875,0.375,0.375,0.6875,0.5,0.8227678571428572,0.31345316842198373,5.0,0.3029,S29
0.9166666666666666,1.0,0.75,0.8571428571428571,0.8,0.816496580927726,0.875,0.96875,0.95,0.64345007261727,9,S10,366,12,0.9166666666666666,1.0,0.75,0.8571428571428571,0.8,0.816496580927726,0.875,0.96875,0.95,0.6136010192955533,5.0,0.5,S02
0.42857142857142855,1.0,0.2,0.3333333333333333,0.125,0.2581988897471611,0.6,0.8,0.9266666666666665,0.28282819754843197,10,S12,372,7,0.42857142857142855,1.0,0.2,0.3333333333333333,0.125,0.2581988897471611,0.6,0.8,0.9266666666666665,0.3213940236185278,5.0,0.5,S21
