accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,fold,test_subject,train_n,test_n,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal,T_post,opt_threshold_cal,val_subject
0.4666666666666667,0.6666666666666666,0.5454545454545454,0.6,-0.17647058823529393,-0.1846372364689991,0.3977272727272727,0.40909090909090906,0.6949202312838676,0.28186132069677117,1,S01,363,15,0.4666666666666667,0.6666666666666666,0.5454545454545454,0.6,-0.17647058823529393,-0.1846372364689991,0.3977272727272727,0.40909090909090906,0.6949202312838676,0.28364776174227396,5.0,0.5,S28
0.42857142857142855,0.3333333333333333,1.0,0.5,0.125,0.2581988897471611,0.6,0.7,0.5,0.6813048805509294,2,S02,364,7,0.42857142857142855,0.3333333333333333,1.0,0.5,0.125,0.2581988897471611,0.6,0.7,0.5,0.46685081720352173,5.0,0.5,S18
0.6666666666666666,0.3333333333333333,1.0,0.5,0.33333333333333337,0.4472135954999579,0.8,1.0,1.0,0.819726787119483,3,S03,371,6,0.6666666666666666,0.3333333333333333,1.0,0.5,0.33333333333333337,0.4472135954999579,0.8,1.0,1.0,0.6222254360715548,5.0,0.5,S37
0.375,0.5,0.2,0.2857142857142857,-0.11111111111111116,-0.14907119849998599,0.43333333333333335,0.33333333333333337,0.5783333333333334,0.3878188547678292,4,S05,361,8,0.375,0.5,0.2,0.2857142857142857,-0.11111111111111116,-0.14907119849998599,0.43333333333333335,0.33333333333333337,0.5783333333333334,0.26588770374655724,5.0,0.5,S08
0.25,0.25,0.25,0.25,-0.5,-0.5,0.25,0.375,0.4928571428571429,0.4996320879290579,5,S06,369,8,0.25,0.25,0.25,0.25,-0.5,-0.5,0.25,0.375,0.4928571428571429,0.33126503229141235,5.0,0.5,S05
0.5714285714285714,0.5,1.0,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.625,0.41666666666666663,0.4666666666666667,0.5696315340963858,6,S07,364,7,0.5714285714285714,0.5,1.0,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.625,0.41666666666666663,0.4666666666666667,0.3554779802049909,5.0,0.5,S18
0.5625,0.42857142857142855,0.5,0.46153846153846156,0.09677419354838712,0.09759000729485331,0.55,0.6166666666666667,0.6297008547008547,0.6107055484317243,7,S08,360,16,0.5625,0.42857142857142855,0.5,0.46153846153846156,0.09677419354838712,0.09759000729485331,0.55,0.6166666666666667,0.6297008547008547,0.6107055494794622,1.0,0.5,S41
0.4,0.75,0.375,0.5,-0.0714285714285714,-0.10206207261596577,0.4375,0.4375,0.8552579365079366,0.19639250757172702,8,S09,355,10,0.3,1.0,0.125,0.2222222222222222,0.05405405405405406,0.16666666666666666,0.5625,0.4375,0.8552579365079366,0.09083163142204284,5.0,0.7,S29
0.3333333333333333,0.25,0.5,0.3333333333333333,-0.20000000000000018,-0.25,0.375,0.21875,0.2708333333333333,0.6573510803282261,9,S10,366,12,0.3333333333333333,0.25,0.5,0.3333333333333333,-0.20000000000000018,-0.25,0.375,0.21875,0.2708333333333333,0.4701522377630075,5.0,0.5,S02
0.2857142857142857,0.5,0.2,0.2857142857142857,-0.2068965517241379,-0.3,0.35,0.4,0.6861904761904761,0.280424313819302,10,S12,372,7,0.2857142857142857,0.5,0.2,0.2857142857142857,-0.2068965517241379,-0.3,0.35,0.4,0.6861904761904761,0.25533971190452576,5.0,0.5,S21
0.5,0.4,1.0,0.5714285714285714,0.18181818181818188,0.31622776601683794,0.625,0.625,0.5,0.5100999027490616,11,S13,359,6,0.6666666666666666,0.5,1.0,0.6666666666666666,0.3999999999999999,0.5,0.75,0.625,0.5,0.43491487701733905,2.9951,0.7,S29
0.5,0.75,0.5,0.6,0.0,0.0,0.5,0.3333333333333333,0.7579365079365079,0.23719640355557203,12,S14,370,8,0.5,0.75,0.5,0.6,0.0,0.0,0.5,0.3333333333333333,0.7579365079365079,0.30835093185305595,5.0,0.5,S34
0.5,0.5,0.6666666666666666,0.5714285714285714,0.0,0.0,0.5,0.4444444444444445,0.5555555555555556,0.4205810595303774,13,S15,359,6,0.5,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.4444444444444445,0.5555555555555556,0.3185334801673889,5.0,0.7,S29
0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.9965227491920814,14,S16,364,8,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.7852228134870529,5.0,0.5,S24
0.5714285714285714,0.6666666666666666,0.8,0.7272727272727273,-0.23529411764705888,-0.2581988897471611,0.4,0.6,0.8761904761904762,0.3089954658644274,15,S17,365,7,0.5714285714285714,0.6666666666666666,0.8,0.7272727272727273,-0.23529411764705888,-0.2581988897471611,0.4,0.6,0.8761904761904762,0.2508561121565955,5.0,0.5,S24
0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.1428571428571428,-0.14285714285714285,0.42857142857142855,0.5102040816326531,0.5172129457843744,0.5288194547008191,16,S18,365,14,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.1428571428571428,-0.14285714285714285,0.42857142857142855,0.5102040816326531,0.5172129457843744,0.4616357194525855,5.0,0.5,S13
0.5294117647058824,0.4444444444444444,0.5714285714285714,0.5,0.06849315068493145,0.07042952122737638,0.5357142857142857,0.44285714285714284,0.3962585034013606,0.5461215648580999,17,S19,361,17,0.5294117647058824,0.4444444444444444,0.5714285714285714,0.5,0.06849315068493145,0.07042952122737638,0.5357142857142857,0.44285714285714284,0.3962585034013606,0.41804406134521266,4.4253,0.5,S12
0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.7,0.7,0.702989036483424,18,S20,371,7,0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.7,0.7,0.45088656246662134,5.0,0.5,S40
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8241640864871442,19,S21,369,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6683720176418622,5.0,0.5,S09
0.7142857142857143,1.0,0.6666666666666666,0.8,0.36363636363636376,0.47140452079103173,0.8333333333333333,0.9583333333333333,0.9935897435897437,0.16965886604573047,20,S22,365,14,0.7142857142857143,1.0,0.6666666666666666,0.8,0.36363636363636376,0.47140452079103173,0.8333333333333333,0.9583333333333333,0.9935897435897437,0.16965886671096087,1.0,0.5,S33
0.4166666666666667,0.5,0.7142857142857143,0.5882352941176471,-0.3124999999999998,-0.37796447300922725,0.35714285714285715,0.14285714285714285,0.4486703772418058,0.41883358731865883,21,S23,360,12,0.4166666666666667,0.5,0.7142857142857143,0.5882352941176471,-0.3124999999999998,-0.37796447300922725,0.35714285714285715,0.14285714285714285,0.4486703772418058,0.314939770847559,5.0,0.5,S24
0.38461538461538464,0.2857142857142857,0.4,0.3333333333333333,-0.2093023255813955,-0.21957751641341997,0.3875,0.5,0.5633333333333332,0.5907835226792555,22,S24,365,13,0.38461538461538464,0.2857142857142857,0.4,0.3333333333333333,-0.2093023255813955,-0.21957751641341997,0.3875,0.5,0.5633333333333332,0.41134562973792743,5.0,0.5,S42
0.6428571428571429,0.6666666666666666,0.75,0.7058823529411765,0.25531914893617025,0.25819888974716115,0.625,0.7708333333333334,0.8507326007326007,0.4235940667068852,23,S25,357,14,0.6428571428571429,0.6666666666666666,0.75,0.7058823529411765,0.25531914893617025,0.25819888974716115,0.625,0.7708333333333334,0.8507326007326007,0.19269588270357677,5.0,0.5,S22
0.5714285714285714,1.0,0.4,0.5714285714285714,0.27586206896551735,0.4,0.7,0.6,0.8761904761904762,0.30527954418877407,24,S26,371,7,0.5714285714285714,1.0,0.4,0.5714285714285714,0.27586206896551735,0.4,0.7,0.6,0.8761904761904762,0.3319671196596963,5.0,0.5,S42
0.2857142857142857,0.0,0.0,0.0,-0.2962962962962965,-0.47140452079103173,0.16666666666666666,0.16666666666666663,0.16666666666666666,0.8312745607857193,25,S27,371,7,0.2857142857142857,0.0,0.0,0.0,-0.2962962962962965,-0.47140452079103173,0.16666666666666666,0.16666666666666663,0.16666666666666666,0.831274558723505,1.0,0.5,S44
0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714,0.15999999999999992,0.16666666666666666,0.5833333333333333,0.5,0.6428571428571428,0.5271931482212884,26,S28,372,7,0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714,0.15999999999999992,0.16666666666666666,0.5833333333333333,0.5,0.6428571428571428,0.5113031651292529,3.5629,0.5,S21
0.85,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.31818181818181823,0.32673201960653564,0.6372549019607843,0.7647058823529412,0.9557287605047576,0.15038841962814334,27,S29,351,20,0.85,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.31818181818181823,0.32673201960653564,0.6372549019607843,0.7647058823529412,0.9557287605047576,0.20458729416131974,4.7777,0.5,S25
0.5384615384615384,0.25,1.0,0.4,0.20408163265306123,0.337099931231621,0.7272727272727273,0.8181818181818181,0.41666666666666663,0.7705903749626417,28,S30,358,13,0.5384615384615384,0.25,1.0,0.4,0.20408163265306123,0.337099931231621,0.7272727272727273,0.8181818181818181,0.41666666666666663,0.543439113176786,5.0,0.5,S22
0.625,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.0,0.9388210354372859,29,S31,367,8,0.625,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.0,0.6942740567028522,5.0,0.5,S38
0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,0.8333333333333334,0.5,0.8096176889625245,30,S32,365,7,0.5714285714285714,0.25,1.0,0.4,0.2222222222222221,0.3535533905932738,0.75,0.8333333333333334,0.5,0.6213094059910094,5.0,0.5,S24
0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.0,0.3333333333333333,0.5,1.0,0.005883600873251756,31,S33,372,6,0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.0,0.3333333333333333,0.5,1.0,0.2253522425889969,5.0,0.5,S17
0.5714285714285714,0.0,0.0,0.0,-0.23529411764705888,-0.2581988897471611,0.4,0.7,0.5,0.6674586610003772,32,S34,372,7,0.5714285714285714,0.0,0.0,0.0,-0.23529411764705888,-0.2581988897471611,0.4,0.7,0.5,0.6524580546787806,1.6363,0.5,S03
0.6666666666666666,0.0,0.0,0.0,-0.19999999999999996,-0.2,0.4,0.8,0.5,0.8461102951938908,33,S35,364,6,0.6666666666666666,0.0,0.0,0.0,-0.19999999999999996,-0.2,0.4,0.8,0.5,0.6908223554491997,5.0,0.5,S01
0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.13377555379910128,34,S36,365,7,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.3205519786902836,5.0,0.5,S24
0.375,0.2,0.5,0.2857142857142857,-0.11111111111111116,-0.14907119849998599,0.41666666666666663,0.6666666666666667,0.6666666666666666,0.7729323087842204,35,S37,370,8,0.375,0.2,0.5,0.2857142857142857,-0.11111111111111116,-0.14907119849998599,0.41666666666666663,0.6666666666666667,0.6666666666666666,0.5824566595256329,5.0,0.5,S26
0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.4777777777777778,0.40768638262525203,36,S38,367,10,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.4777777777777778,0.40768638271838425,1.0,0.5,S31
0.42857142857142855,0.0,0.0,0.0,-0.2727272727272725,-0.3535533905932738,0.375,0.5,0.4777777777777778,0.5169307374661523,37,S39,371,7,0.42857142857142855,0.0,0.0,0.0,-0.2727272727272725,-0.3535533905932738,0.375,0.5,0.4777777777777778,0.4405280670949391,5.0,0.5,S34
0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.4,0.39285714285714285,0.7114056082708495,38,S40,372,7,0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.4,0.39285714285714285,0.6071028709411621,2.9284,0.5,S35
