accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,fold,test_subject,train_n,test_n,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal,T_post,opt_threshold_cal,val_subject
0.4,0.6666666666666666,0.36363636363636365,0.47058823529411764,-0.09756097560975618,-0.12309149097933272,0.4318181818181818,0.5909090909090909,0.8461694870785781,0.3168738303085168,1,S01,363,15,0.4,0.6666666666666666,0.36363636363636365,0.47058823529411764,-0.09756097560975618,-0.12309149097933272,0.4318181818181818,0.5909090909090909,0.8461694870785781,0.2705852453907331,0.2743,0.5,S28
0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5833333333333333,0.46819845241095337,2,S02,364,7,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5833333333333333,0.3241652590887887,5.0,0.5,S18
0.8333333333333334,0.5,1.0,0.6666666666666666,0.5714285714285714,0.6324555320336759,0.9,1.0,1.0,0.7044681745270888,3,S03,371,6,0.8333333333333334,0.5,1.0,0.6666666666666666,0.5714285714285714,0.6324555320336759,0.9,1.0,1.0,0.6053869525591532,3.1009,0.5,S37
0.5,0.6666666666666666,0.4,0.5,0.05882352941176472,0.06666666666666667,0.5333333333333333,0.4,0.6116666666666666,0.40549770230427384,4,S05,361,8,0.5,0.6666666666666666,0.4,0.5,0.05882352941176472,0.06666666666666667,0.5333333333333333,0.4,0.6116666666666666,0.24792399629950523,5.0,0.5,S08
0.625,0.6,0.75,0.6666666666666666,0.25,0.2581988897471611,0.625,0.875,0.9166666666666666,0.47249468229711056,5,S06,369,8,0.625,0.6,0.75,0.6666666666666666,0.25,0.2581988897471611,0.625,0.875,0.9166666666666666,0.266113992780447,5.0,0.5,S05
0.7142857142857143,1.0,0.3333333333333333,0.5,0.36363636363636376,0.47140452079103173,0.6666666666666666,0.8333333333333334,0.8055555555555556,0.5095028669706413,6,S07,364,7,0.7142857142857143,1.0,0.3333333333333333,0.5,0.36363636363636376,0.47140452079103173,0.6666666666666666,0.8333333333333334,0.8055555555555556,0.4428084354315485,4.3698,0.5,S18
0.5625,0.4,0.3333333333333333,0.36363636363636365,0.03448275862068961,0.034815531191139566,0.5166666666666666,0.5333333333333333,0.5226851851851851,0.4744080377276987,7,S08,360,16,0.5625,0.4,0.3333333333333333,0.36363636363636365,0.03448275862068961,0.034815531191139566,0.5166666666666666,0.5333333333333333,0.5226851851851851,0.474408041452989,1.0,0.5,S41
0.5,1.0,0.375,0.5454545454545454,0.19354838709677413,0.3273268353539886,0.6875,0.9375,0.9861111111111112,0.36588878035545347,8,S09,355,10,0.3,1.0,0.125,0.2222222222222222,0.05405405405405406,0.16666666666666666,0.5625,0.9375,0.9861111111111112,0.4001361012458801,5.0,0.5908,S29
0.5,0.3333333333333333,0.5,0.4,0.0,0.0,0.5,0.4375,0.37499999999999994,0.5430762721225619,9,S10,366,12,0.5,0.3333333333333333,0.5,0.4,0.0,0.0,0.5,0.4375,0.37499999999999994,0.3255881468454997,5.0,0.5,S02
0.2857142857142857,0.5,0.2,0.2857142857142857,-0.2068965517241379,-0.3,0.35,0.1,0.5961904761904762,0.252987298050097,10,S12,372,7,0.2857142857142857,0.5,0.2,0.2857142857142857,-0.2068965517241379,-0.3,0.35,0.15000000000000002,0.5961904761904762,0.14229355657672776,0.05,0.5,S21
0.3333333333333333,0.25,0.5,0.3333333333333333,-0.20000000000000018,-0.25,0.375,0.625,0.7,0.6608629946907361,11,S13,359,6,0.6666666666666666,0.5,0.5,0.5,0.25,0.25,0.625,0.625,0.7,0.29778170585632324,5.0,0.6251,S29
0.625,1.0,0.5,0.6666666666666666,0.33333333333333337,0.4472135954999579,0.75,0.9166666666666667,0.9761904761904762,0.2981917802244425,12,S14,370,8,0.625,1.0,0.5,0.6666666666666666,0.33333333333333337,0.4472135954999579,0.75,0.9166666666666667,0.9761904761904762,0.35817940905690193,4.9998,0.5,S34
0.6666666666666666,0.6,1.0,0.75,0.33333333333333337,0.4472135954999579,0.6666666666666666,0.7777777777777779,0.8055555555555556,0.40921724172949325,13,S15,359,6,0.8333333333333334,0.75,1.0,0.8571428571428571,0.6666666666666667,0.7071067811865476,0.8333333333333333,0.7777777777777779,0.8055555555555556,0.2755777537822723,5.0,0.6047,S29
0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.8979191274847835,14,S16,364,8,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.6651407852768898,5.0,0.5,S24
0.42857142857142855,0.6666666666666666,0.4,0.5,-0.07692307692307687,-0.09128709291752768,0.45,0.6,0.81,0.39672354821647915,15,S17,365,7,0.42857142857142855,0.6666666666666666,0.4,0.5,-0.07692307692307687,-0.09128709291752768,0.45,0.6,0.81,0.4354084666286196,5.0,0.5,S24
