accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,fold,test_subject,train_n,test_n,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal,T_post,opt_threshold_cal,val_subject
0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.9090909090909091,0.9649678604224059,0.2666666064781618,1,S01,363,15,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.9090909090909091,0.9649678604224059,0.25934717763836185,3.5052,0.5,S28
0.5714285714285714,0.0,0.0,0.0,-0.23529411764705888,-0.2581988897471611,0.4,0.8,0.5833333333333333,0.675828349909612,2,S02,364,7,0.5714285714285714,0.0,0.0,0.0,-0.23529411764705888,-0.2581988897471611,0.4,0.8,0.5833333333333333,0.684123524597713,3.7469,0.5,S18
0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.3333333333333333,0.8115839781142616,3,S03,371,6,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.16666666666666666,0.8333333333333334,0.05,0.5,S37
0.875,1.0,0.8,0.8888888888888888,0.75,0.7745966692414834,0.9,0.9333333333333333,0.9666666666666667,0.35204294766299427,4,S05,361,8,0.875,1.0,0.8,0.8888888888888888,0.75,0.7745966692414834,0.9,0.9333333333333333,0.9666666666666667,0.4596887119114399,4.9372,0.5,S08
0.375,0.4,0.5,0.4444444444444444,-0.25,-0.2581988897471611,0.375,0.375,0.6,0.5008601336739957,5,S06,369,8,0.375,0.4,0.5,0.4444444444444444,-0.25,-0.2581988897471611,0.375,0.375,0.6,0.4511745059862733,2.2591,0.5,S05
0.5714285714285714,0.5,0.3333333333333333,0.4,0.08695652173913038,0.09128709291752768,0.5416666666666666,0.75,0.7555555555555555,0.5272180562782782,6,S07,364,7,0.5714285714285714,0.5,0.3333333333333333,0.4,0.08695652173913038,0.09128709291752768,0.5416666666666666,0.75,0.7555555555555555,0.48801640740462704,3.1085,0.5,S18
0.6875,0.5454545454545454,1.0,0.7058823529411765,0.4285714285714286,0.5222329678670935,0.75,0.8666666666666667,0.8374999999999999,0.5342669510282576,7,S08,360,16,0.6875,0.5454545454545454,1.0,0.7058823529411765,0.4285714285714286,0.5222329678670935,0.75,0.8666666666666667,0.8374999999999999,0.5342669510282576,1.0,0.5,S41
0.8,1.0,0.75,0.8571428571428571,0.5454545454545454,0.6123724356957946,0.875,1.0,1.0,0.30613668188452714,8,S09,355,10,0.8,1.0,0.75,0.8571428571428571,0.5454545454545454,0.6123724356957946,0.875,1.0,1.0,0.3664076425135136,1.5812,0.6294,S29
0.8333333333333334,1.0,0.5,0.6666666666666666,0.5714285714285714,0.6324555320336759,0.75,0.90625,0.8928571428571428,0.7280832244238504,9,S10,366,12,0.8333333333333334,1.0,0.5,0.6666666666666666,0.5714285714285714,0.6324555320336759,0.75,0.90625,0.8928571428571428,0.6519083082675933,5.0,0.5,S02
0.7142857142857143,1.0,0.6,0.75,0.46153846153846156,0.5477225575051661,0.8,1.0,1.0,0.35825463690395865,10,S12,372,7,0.7142857142857143,1.0,0.6,0.75,0.46153846153846156,0.5477225575051661,0.8,1.0,1.0,0.3482728898525238,0.1088,0.5,S21
0.8333333333333334,1.0,0.5,0.6666666666666666,0.5714285714285714,0.6324555320336759,0.75,1.0,1.0,0.7816722967351477,11,S13,359,6,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.7820311039686203,1.619,0.6856,S29
0.625,1.0,0.5,0.6666666666666666,0.33333333333333337,0.4472135954999579,0.75,0.8333333333333334,0.9583333333333334,0.29287673346698284,12,S14,370,8,0.625,1.0,0.5,0.6666666666666666,0.33333333333333337,0.4472135954999579,0.75,0.8333333333333334,0.9583333333333334,0.4330828841775656,3.5976,0.5,S34
0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,0.888888888888889,0.9166666666666665,0.5004191314801574,13,S15,359,6,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,0.888888888888889,0.9166666666666665,0.49163382500410074,2.0925,0.5591,S29
1.0,0.0,0.0,0.0,,0.0,1.0,0.5,0.0,0.9986597581300884,14,S16,364,8,1.0,0.0,0.0,0.0,,0.0,1.0,0.5,0.0,0.9999999999999998,0.1435,0.5,S24
0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.32076794467866415,15,S17,365,7,0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.2857969315492126,0.173,0.5,S24
0.8571428571428571,0.7777777777777778,1.0,0.875,0.7142857142857143,0.7453559924999299,0.8571428571428572,1.0,0.9999999999999998,0.4531641981697508,16,S18,365,14,0.8571428571428571,0.7777777777777778,1.0,0.875,0.7142857142857143,0.7453559924999299,0.8571428571428572,0.8571428571428572,0.7777777777777778,0.35714285676042745,0.0592,0.5,S13
0.8823529411764706,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7571428571428571,0.7571428571428571,0.8785714285714286,0.9285714285714286,0.9404761904761905,0.5890143071027364,17,S19,361,17,0.8823529411764706,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7571428571428571,0.7571428571428571,0.8785714285714286,0.9285714285714286,0.9404761904761905,0.5741294291527832,0.4565,0.5,S12
0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.8203939199115017,18,S20,371,7,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.8218141948538167,2.2394,0.5,S40
0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.871396705081376,19,S21,369,6,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.8349989665051301,2.5664,0.5,S09
0.5714285714285714,0.875,0.5833333333333334,0.7,0.045454545454545525,0.05892556509887897,0.5416666666666667,0.7083333333333334,0.9501063751063753,0.1499467630471502,20,S22,365,14,0.5714285714285714,0.875,0.5833333333333334,0.7,0.045454545454545525,0.05892556509887897,0.5416666666666667,0.7083333333333334,0.9501063751063753,0.1499467651758875,1.0,0.5,S33
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.4183450144870828,21,S23,360,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.1135,0.5,S24
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6076298172657306,22,S24,365,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.538060704102883,5.0,0.5,S42
0.7857142857142857,0.7272727272727273,1.0,0.8421052631578947,0.5333333333333333,0.6030226891555273,0.75,0.8333333333333333,0.897159090909091,0.37655649387410706,23,S25,357,14,0.7857142857142857,0.7272727272727273,1.0,0.8421052631578947,0.5333333333333333,0.6030226891555273,0.75,0.8333333333333333,0.897159090909091,0.2980118500334876,3.4025,0.5,S22
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33259966437305727,24,S26,371,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4314352359090532,5.0,0.5,S42
0.42857142857142855,0.2,1.0,0.3333333333333333,0.125,0.2581988897471611,0.6666666666666666,1.0,1.0,0.7262516820005007,25,S27,371,7,0.42857142857142855,0.2,1.0,0.3333333333333333,0.125,0.2581988897471611,0.6666666666666666,1.0,1.0,0.7262516915798187,1.0,0.5,S44
0.7142857142857143,0.6,1.0,0.75,0.46153846153846156,0.5477225575051661,0.75,1.0,1.0,0.4677914482142244,26,S28,372,7,0.7142857142857143,0.6,1.0,0.75,0.46153846153846156,0.5477225575051661,0.75,0.75,0.6,0.28571425871359474,0.05,0.5,S21
0.75,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.30555555555555547,0.3361227822436775,0.7156862745098038,0.823529411764706,0.9664896954256816,0.21129278559237716,27,S29,351,20,0.75,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.30555555555555547,0.3361227822436775,0.7156862745098038,0.823529411764706,0.9664896954256816,0.23672009296715263,3.5088,0.5,S25
0.5384615384615384,0.16666666666666666,0.5,0.25,0.02499999999999991,0.03289758474798845,0.5227272727272727,0.6818181818181819,0.6111111111111112,0.6860543056749382,28,S30,358,13,0.5384615384615384,0.16666666666666666,0.5,0.25,0.02499999999999991,0.03289758474798845,0.5227272727272727,0.6818181818181819,0.6111111111111112,0.5347073135467677,2.4692,0.5,S22
1.0,0.0,0.0,0.0,,0.0,1.0,0.5,0.0,0.9410778140736511,29,S31,367,8,1.0,0.0,0.0,0.0,,0.0,1.0,0.5,0.0,0.8247130736708641,4.9999,0.5,S38
