accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,fold,test_subject,train_n,test_n,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal,T_post,opt_threshold_cal,val_subject
0.6,0.7777777777777778,0.6363636363636364,0.7,0.11764705882352955,0.12309149097933272,0.5681818181818181,0.6136363636363636,0.8142181051271961,0.33487826446071267,1,S01,363,15,0.6,0.7777777777777778,0.6363636363636364,0.7,0.11764705882352955,0.12309149097933272,0.5681818181818181,0.6136363636363636,0.8142181051271961,0.31872771382331844,5.0,0.5,S28
0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.7,0.7,0.6877315608518464,2,S02,364,7,0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.7,0.7,0.5410981859479631,3.1405,0.5,S18
0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,0.19999999999999996,0.2,0.8325975770906856,3,S03,371,6,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,0.19999999999999996,0.2,0.7740823434044918,2.7399,0.5,S37
0.75,0.8,0.8,0.8,0.4666666666666667,0.4666666666666667,0.7333333333333334,0.8,0.8766666666666667,0.37465914558197255,4,S05,361,8,0.75,0.8,0.8,0.8,0.4666666666666667,0.4666666666666667,0.7333333333333334,0.8,0.8766666666666667,0.26827104203402996,5.0,0.5,S08
0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.6875,0.8125,0.5526649086386897,5,S06,369,8,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.6875,0.8125,0.4878381211310625,5.0,0.5,S05
0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714,0.15999999999999992,0.16666666666666666,0.5833333333333333,0.6666666666666666,0.5888888888888889,0.5098424821345751,6,S07,364,7,0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714,0.15999999999999992,0.16666666666666666,0.5833333333333333,0.6666666666666666,0.5888888888888889,0.48963579216173714,4.0602,0.5,S18
0.5625,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.19999999999999996,0.24370871833797697,0.6166666666666667,0.7,0.5537037037037037,0.6199276871193433,7,S08,360,16,0.5625,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.19999999999999996,0.24370871833797697,0.6166666666666667,0.7,0.5537037037037037,0.6199276871557231,1.0,0.5,S41
0.8,0.875,0.875,0.875,0.375,0.375,0.6875,0.875,0.9704861111111112,0.14833739930763842,8,S09,355,10,0.8,1.0,0.75,0.8571428571428571,0.5454545454545454,0.6123724356957946,0.875,0.875,0.9704861111111112,0.21082113981246947,2.1061,0.7,S29
0.8333333333333334,0.75,0.75,0.75,0.625,0.625,0.8125,0.84375,0.8611111111111112,0.6513725506374611,9,S10,366,12,0.8333333333333334,0.75,0.75,0.75,0.625,0.625,0.8125,0.84375,0.8611111111111112,0.5751620580752691,4.9446,0.5,S02
0.5714285714285714,1.0,0.4,0.5714285714285714,0.27586206896551735,0.4,0.7,0.9,0.9666666666666666,0.27925590851477217,10,S12,372,7,0.5714285714285714,1.0,0.4,0.5714285714285714,0.27586206896551735,0.4,0.7,0.9,0.9666666666666666,0.31041205780846726,4.7018,0.5,S21
0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.3666666666666667,0.665360990484866,11,S13,359,6,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.3666666666666667,0.5538714627424876,3.2264,0.7,S29
0.75,1.0,0.6666666666666666,0.8,0.5,0.5773502691896258,0.8333333333333333,1.0,1.0,0.25002903069980675,12,S14,370,8,0.75,1.0,0.6666666666666666,0.8,0.5,0.5773502691896258,0.8333333333333333,1.0,1.0,0.25414319336414337,5.0,0.5,S34
0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.49957024725154037,13,S15,359,6,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.4997379705309868,5.0,0.4629,S29
0.875,0.0,0.0,0.0,0.0,0.0,0.875,0.5,0.0,0.9950241427577566,14,S16,364,8,0.875,0.0,0.0,0.0,0.0,0.0,0.875,0.5,0.0,0.9306462621316314,2.3179,0.5,S24
0.5714285714285714,1.0,0.4,0.5714285714285714,0.27586206896551735,0.4,0.7,0.8,0.9428571428571428,0.3055634167311447,15,S17,365,7,0.5714285714285714,1.0,0.4,0.5714285714285714,0.27586206896551735,0.4,0.7,0.8,0.9428571428571428,0.28512575878163005,0.3172,0.5,S24
0.7857142857142857,0.75,0.8571428571428571,0.8,0.5714285714285714,0.5773502691896257,0.7857142857142857,0.7755102040816326,0.7779434850863423,0.4736943153132286,16,S18,365,14,0.7857142857142857,0.75,0.8571428571428571,0.8,0.5714285714285714,0.5773502691896257,0.7857142857142857,0.7755102040816326,0.7779434850863423,0.3466294492994036,5.0,0.5,S13
0.8823529411764706,0.7777777777777778,1.0,0.875,0.7671232876712328,0.7888106377466154,0.9,0.8857142857142858,0.7407029478458049,0.6071977633708978,17,S19,361,17,0.8823529411764706,0.7777777777777778,1.0,0.875,0.7671232876712328,0.7888106377466154,0.9,0.8857142857142858,0.7407029478458049,0.46847027803168584,5.0,0.5,S12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7141904381070552,18,S20,371,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6964592433401517,2.1923,0.5,S40
0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.8330959004864175,19,S21,369,6,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6769985606273016,4.9544,0.5,S09
0.7857142857142857,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.27586206896551735,0.2842676218074806,0.6666666666666667,0.8333333333333334,0.9752747252747255,0.13954111454742296,20,S22,365,14,0.7857142857142857,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.27586206896551735,0.2842676218074806,0.6666666666666667,0.8333333333333334,0.9752747252747255,0.13954111454742296,1.0,0.5,S33
