accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,fold,test_subject,train_n,test_n,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal,T_post,opt_threshold_cal,val_subject
0.8,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.44444444444444453,0.45226701686664544,0.7045454545454546,0.7727272727272727,0.9192935852026762,0.23848854253689444,1,S01,363,15,0.8,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.44444444444444453,0.45226701686664544,0.7045454545454546,0.7727272727272727,0.9192935852026762,0.1941366672515869,3.1815,0.5,S28
0.8571428571428571,0.6666666666666666,1.0,0.8,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.6684843945716108,2,S02,364,7,0.8571428571428571,0.6666666666666666,1.0,0.8,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.49048209509679247,5.0,0.5,S18
0.3333333333333333,0.0,0.0,0.0,-0.33333333333333326,-0.4472135954999579,0.2,0.4,0.25,0.8168442485233147,3,S03,371,6,0.3333333333333333,0.0,0.0,0.0,-0.33333333333333326,-0.4472135954999579,0.2,0.4,0.25,0.6369064052899678,5.0,0.5,S37
0.5,0.6666666666666666,0.4,0.5,0.05882352941176472,0.06666666666666667,0.5333333333333333,0.4666666666666667,0.7592857142857143,0.34793276130221784,4,S05,361,8,0.5,0.6666666666666666,0.4,0.5,0.05882352941176472,0.06666666666666667,0.5333333333333333,0.4666666666666667,0.7592857142857143,0.2882644087076187,5.0,0.5,S08
0.375,0.4,0.5,0.4444444444444444,-0.25,-0.2581988897471611,0.375,0.375,0.6,0.4412193922325969,5,S06,369,8,0.375,0.4,0.5,0.4444444444444444,-0.25,-0.2581988897471611,0.375,0.375,0.6,0.37811566330492496,4.9999,0.5,S05
0.42857142857142855,0.4,0.6666666666666666,0.5,-0.07692307692307687,-0.09128709291752768,0.4583333333333333,0.5833333333333334,0.6984126984126984,0.4971488671643393,6,S07,364,7,0.42857142857142855,0.4,0.6666666666666666,0.5,-0.07692307692307687,-0.09128709291752768,0.4583333333333333,0.5833333333333334,0.6984126984126984,0.2764948180743626,5.0,0.5,S18
0.5625,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.19999999999999996,0.24370871833797697,0.6166666666666667,0.5333333333333333,0.44133597883597886,0.5490732345281231,7,S08,360,16,0.5625,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.19999999999999996,0.24370871833797697,0.6166666666666667,0.5333333333333333,0.44133597883597886,0.5490732354594456,1.0,0.5,S41
0.3,1.0,0.125,0.2222222222222222,0.05405405405405406,0.16666666666666666,0.5625,0.625,0.875545634920635,0.19646316380240023,8,S09,355,10,0.4,1.0,0.25,0.4,0.11764705882352955,0.25,0.625,0.625,0.875545634920635,0.2993573762476444,5.0,0.3173,S29
0.5833333333333334,0.42857142857142855,0.75,0.5454545454545454,0.21052631578947378,0.23904572186687872,0.625,0.6875,0.5238095238095238,0.6679950817488134,9,S10,366,12,0.5833333333333334,0.42857142857142855,0.75,0.5454545454545454,0.21052631578947378,0.23904572186687872,0.625,0.6875,0.5238095238095238,0.4559941925108433,5.0,0.5,S02
0.5714285714285714,0.6666666666666666,0.8,0.7272727272727273,-0.23529411764705888,-0.2581988897471611,0.4,0.1,0.5961904761904762,0.39621034051690784,10,S12,372,7,0.5714285714285714,0.6666666666666666,0.8,0.7272727272727273,-0.23529411764705888,-0.2581988897471611,0.4,0.1,0.5961904761904762,0.3266292001519884,5.0,0.5,S21
0.8333333333333334,0.6666666666666666,1.0,0.8,0.6666666666666667,0.7071067811865476,0.875,1.0,1.0,0.6036971656916041,11,S13,359,6,0.6666666666666666,0.5,1.0,0.6666666666666666,0.3999999999999999,0.5,0.75,1.0,1.0,0.5340179353952408,5.0,0.3,S29
0.625,0.7142857142857143,0.8333333333333334,0.7692307692307693,-0.19999999999999996,-0.2182178902359924,0.4166666666666667,0.8333333333333334,0.9583333333333334,0.20778431487269697,12,S14,370,8,0.625,0.7142857142857143,0.8333333333333334,0.7692307692307693,-0.19999999999999996,-0.2182178902359924,0.4166666666666667,0.8333333333333334,0.9583333333333334,0.27749085798859596,5.0,0.5,S34
0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5342239941625545,13,S15,359,6,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.6167884903649489,5.0,0.3,S29
0.375,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.830442217644304,14,S16,364,8,0.375,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.6243921257555485,4.6584,0.5,S24
0.5714285714285714,1.0,0.4,0.5714285714285714,0.27586206896551735,0.4,0.7,0.6000000000000001,0.8528571428571428,0.2596682166414601,15,S17,365,7,0.5714285714285714,1.0,0.4,0.5714285714285714,0.27586206896551735,0.4,0.7,0.6000000000000001,0.8528571428571428,0.21469353778021677,3.9368,0.5,S24
0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4285714285714286,0.42857142857142855,0.7142857142857143,0.6326530612244897,0.639486703772418,0.4825831662331308,16,S18,365,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4285714285714286,0.42857142857142855,0.7142857142857143,0.6326530612244897,0.639486703772418,0.4045311553137642,5.0,0.5,S13
0.35294117647058826,0.25,0.2857142857142857,0.26666666666666666,-0.3076923076923077,-0.3098898934004561,0.34285714285714286,0.37142857142857144,0.3642347848230201,0.6306315544335283,17,S19,361,17,0.35294117647058826,0.25,0.2857142857142857,0.26666666666666666,-0.3076923076923077,-0.3098898934004561,0.34285714285714286,0.37142857142857144,0.3642347848230201,0.4090739514897851,5.0,0.5,S12
0.7142857142857143,0.5,1.0,0.6666666666666666,0.46153846153846156,0.5477225575051661,0.8,1.0,1.0,0.6068919971585274,18,S20,371,7,0.7142857142857143,0.5,1.0,0.6666666666666666,0.46153846153846156,0.5477225575051661,0.8,1.0,1.0,0.5023379964487893,5.0,0.5,S40
0.5,0.0,0.0,0.0,-0.2857142857142856,-0.31622776601683794,0.3,0.6,0.3333333333333333,0.7031822949647903,19,S21,369,6,0.5,0.0,0.0,0.0,-0.2857142857142856,-0.31622776601683794,0.3,0.6,0.3333333333333333,0.45681124428908026,5.0,0.5,S09
0.5714285714285714,1.0,0.5,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.75,0.7083333333333333,0.9455657768157769,0.16904547171933312,20,S22,365,14,0.5714285714285714,1.0,0.5,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.75,0.7083333333333333,0.9455657768157769,0.16904547198542527,1.0,0.5,S33
0.5,0.5555555555555556,0.7142857142857143,0.625,-0.09090909090909083,-0.09759000729485331,0.4571428571428572,0.34285714285714286,0.5936817151102864,0.384501947555691,21,S23,360,12,0.5,0.5555555555555556,0.7142857142857143,0.625,-0.09090909090909083,-0.09759000729485331,0.4571428571428572,0.34285714285714286,0.5936817151102864,0.2841283859064182,2.0858,0.5,S24
0.8461538461538461,0.7142857142857143,1.0,0.8333333333333334,0.6976744186046511,0.7319250547113999,0.875,0.825,0.7295238095238095,0.589414030026931,22,S24,365,13,0.8461538461538461,0.7142857142857143,1.0,0.8333333333333334,0.6976744186046511,0.7319250547113999,0.875,0.825,0.7295238095238095,0.37280957056925845,5.0,0.5,S42
0.7142857142857143,1.0,0.5,0.6666666666666666,0.46153846153846156,0.5477225575051661,0.75,0.7708333333333333,0.8943452380952381,0.4246792144009045,23,S25,357,14,0.7142857142857143,1.0,0.5,0.6666666666666666,0.46153846153846156,0.5477225575051661,0.75,0.7708333333333333,0.8943452380952381,0.28832026038851055,5.0,0.5,S22
0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.3113310025738818,24,S26,371,7,0.8571428571428571,1.0,0.8,0.8888888888888888,0.6956521739130435,0.7302967433402214,0.9,1.0,1.0,0.45763286522456575,5.0,0.5,S42
0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.6761376184087047,25,S27,371,7,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.676137620537442,1.0,0.5,S44
0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.41666666666666663,0.4166666666666667,0.7083333333333333,0.9166666666666666,0.9166666666666665,0.4901142375809806,26,S28,372,7,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.41666666666666663,0.4166666666666667,0.7083333333333333,0.9166666666666666,0.9166666666666665,0.23982512099402287,5.0,0.5,S21
0.6,1.0,0.5294117647058824,0.6923076923076923,0.25233644859813076,0.3799802978286742,0.7647058823529411,0.7647058823529411,0.9567386381400222,0.2164468634873629,27,S29,351,20,0.6,1.0,0.5294117647058824,0.6923076923076923,0.25233644859813076,0.3799802978286742,0.7647058823529411,0.7647058823529411,0.9567386381400222,0.25600272938609125,5.0,0.5,S25
0.38461538461538464,0.2,1.0,0.3333333333333333,0.10344827586206895,0.23354968324845687,0.6363636363636364,0.7272727272727273,0.39285714285714285,0.7292408736852499,28,S30,358,13,0.38461538461538464,0.2,1.0,0.3333333333333333,0.10344827586206895,0.23354968324845687,0.6363636363636364,0.7272727272727273,0.39285714285714285,0.5165260067352883,5.0,0.5,S22
0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.9045023331418633,29,S31,367,8,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.6658531613647938,5.0,0.5,S38
