accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,fold,test_subject,train_n,test_n,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal,T_post,opt_threshold_cal,val_subject
0.5333333333333333,0.75,0.5454545454545454,0.631578947368421,0.03669724770642213,0.040291148201269014,0.5227272727272727,0.6136363636363636,0.865945165945166,0.29143092377732194,1,S01,363,15,0.5333333333333333,0.75,0.5454545454545454,0.631578947368421,0.03669724770642213,0.040291148201269014,0.5227272727272727,0.6136363636363636,0.865945165945166,0.22735823889573417,5.0,0.5,S28
0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.30952380952380953,0.6921362948736974,2,S02,364,7,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.30952380952380953,0.5052365692598478,5.0,0.5,S18
0.5,0.25,1.0,0.4,0.18181818181818188,0.31622776601683794,0.7,1.0,1.0,0.7725095263449475,3,S03,371,6,0.5,0.25,1.0,0.4,0.18181818181818188,0.31622776601683794,0.7,1.0,1.0,0.6414810220400492,5.0,0.5,S37
0.5,0.6666666666666666,0.4,0.5,0.05882352941176472,0.06666666666666667,0.5333333333333333,0.6,0.8083333333333333,0.350401813397184,4,S05,361,8,0.5,0.6666666666666666,0.4,0.5,0.05882352941176472,0.06666666666666667,0.5333333333333333,0.6,0.8083333333333333,0.27336285822093487,5.0,0.5,S08
0.625,0.5714285714285714,1.0,0.7272727272727273,0.25,0.3779644730092272,0.625,0.59375,0.5666666666666667,0.2924169562757015,5,S06,369,8,0.625,0.5714285714285714,1.0,0.7272727272727273,0.25,0.3779644730092272,0.625,0.5625,0.5666666666666667,0.48615479096770287,5.0,0.5,S05
0.7142857142857143,0.6,1.0,0.75,0.46153846153846156,0.5477225575051661,0.75,0.75,0.7555555555555555,0.5917602627830223,6,S07,364,7,0.7142857142857143,0.6,1.0,0.75,0.46153846153846156,0.5477225575051661,0.75,0.75,0.7555555555555555,0.44091519606964924,5.0,0.5,S18
0.5625,0.4,0.3333333333333333,0.36363636363636365,0.03448275862068961,0.034815531191139566,0.5166666666666666,0.44999999999999996,0.49276418026418023,0.5114014780265279,7,S08,360,16,0.5625,0.4,0.3333333333333333,0.36363636363636365,0.03448275862068961,0.034815531191139566,0.5166666666666666,0.44999999999999996,0.49276418026418023,0.5114014815480914,1.0,0.5,S41
0.3,1.0,0.125,0.2222222222222222,0.05405405405405406,0.16666666666666666,0.5625,0.6875,0.906795634920635,0.2663363479077816,8,S09,355,10,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.6875,0.906795634920635,0.25608854666352276,5.0,0.7,S29
0.3333333333333333,0.16666666666666666,0.25,0.2,-0.33333333333333326,-0.3535533905932738,0.3125,0.28125,0.28733766233766234,0.646522188646486,9,S10,366,12,0.3333333333333333,0.16666666666666666,0.25,0.2,-0.33333333333333326,-0.3535533905932738,0.3125,0.28125,0.28733766233766234,0.4771846948812405,5.0,0.5,S02
0.2857142857142857,0.5,0.4,0.4444444444444444,-0.5217391304347827,-0.5477225575051661,0.2,0.2,0.6295238095238095,0.15870905896840018,10,S12,372,7,0.2857142857142857,0.5,0.4,0.4444444444444444,-0.5217391304347827,-0.5477225575051661,0.2,0.2,0.6295238095238095,0.3861442570175443,5.0,0.5,S21
0.5,0.3333333333333333,0.5,0.4,0.0,0.0,0.5,0.625,0.7,0.6553283419149618,11,S13,359,6,0.5,0.3333333333333333,0.5,0.4,0.0,0.0,0.5,0.625,0.7,0.5627713594585656,5.0,0.4268,S29
0.625,0.8,0.6666666666666666,0.7272727272727273,0.1428571428571429,0.14907119849998599,0.5833333333333333,0.75,0.9305555555555556,0.2882233625277877,12,S14,370,8,0.625,0.8,0.6666666666666666,0.7272727272727273,0.1428571428571429,0.14907119849998599,0.5833333333333333,0.75,0.9305555555555556,0.21982780285179615,5.0,0.5,S34
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5888888888888889,0.4686290215079983,13,S15,359,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5888888888888889,0.5246753847847382,5.0,0.4738,S29
0.625,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.0,0.8712891044706339,14,S16,364,8,0.625,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.0,0.8512210175395012,5.0,0.5,S24
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27962432588849745,15,S17,365,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36029646226337975,5.0,0.5,S24
0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.1428571428571429,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.5658119658119657,0.4634627801632243,16,S18,365,14,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.1428571428571429,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.5658119658119657,0.4460422692022153,5.0,0.5,S13
0.47058823529411764,0.4,0.5714285714285714,0.47058823529411764,-0.02684563758389258,-0.02857142857142857,0.4857142857142857,0.5285714285714286,0.4364159649873936,0.5331686405903276,17,S19,361,17,0.47058823529411764,0.4,0.5714285714285714,0.47058823529411764,-0.02684563758389258,-0.02857142857142857,0.4857142857142857,0.5285714285714286,0.4364159649873936,0.5514637236209476,5.0,0.5,S12
0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.8,0.75,0.7226545893188033,18,S20,371,7,0.5714285714285714,0.3333333333333333,0.5,0.4,0.08695652173913038,0.09128709291752768,0.55,0.8,0.75,0.4286731800862721,5.0,0.5,S40
0.6666666666666666,0.0,0.0,0.0,-0.19999999999999996,-0.2,0.4,0.6,0.3333333333333333,0.8163781939074398,19,S21,369,6,0.6666666666666666,0.0,0.0,0.0,-0.19999999999999996,-0.2,0.4,0.6,0.3333333333333333,0.64680082599322,5.0,0.5,S09
0.35714285714285715,0.7142857142857143,0.4166666666666667,0.5263157894736842,-0.2857142857142858,-0.40824829046386296,0.20833333333333334,0.16666666666666666,0.79001739001739,0.19899009593895506,20,S22,365,14,0.35714285714285715,0.7142857142857143,0.4166666666666667,0.5263157894736842,-0.2857142857142858,-0.40824829046386296,0.20833333333333334,0.16666666666666666,0.79001739001739,0.1989900938102177,1.0,0.5,S33
0.5,0.5555555555555556,0.7142857142857143,0.625,-0.09090909090909083,-0.09759000729485331,0.4571428571428572,0.39999999999999997,0.5380179344465059,0.42043946306997293,21,S23,360,12,0.5,0.5555555555555556,0.7142857142857143,0.625,-0.09090909090909083,-0.09759000729485331,0.4571428571428572,0.39999999999999997,0.5380179344465059,0.3720474041377505,5.0,0.5,S24
0.6153846153846154,0.5,0.8,0.6153846153846154,0.2696629213483147,0.3,0.65,0.825,0.81,0.5314709659701643,22,S24,365,13,0.6153846153846154,0.5,0.8,0.6153846153846154,0.2696629213483147,0.3,0.65,0.825,0.81,0.38420368616397566,5.0,0.5,S42
0.6428571428571429,0.8,0.5,0.6153846153846154,0.31372549019607854,0.34426518632954817,0.6666666666666667,0.8333333333333334,0.7713789682539683,0.46269956018243513,23,S25,357,14,0.6428571428571429,0.8,0.5,0.6153846153846154,0.31372549019607854,0.34426518632954817,0.6666666666666667,0.8333333333333334,0.7713789682539683,0.49444903726024286,5.0,0.5,S22
0.7142857142857143,1.0,0.6,0.75,0.46153846153846156,0.5477225575051661,0.8,0.9,0.9666666666666666,0.30671518468963244,24,S26,371,7,0.7142857142857143,1.0,0.6,0.75,0.46153846153846156,0.5477225575051661,0.8,0.9,0.9666666666666666,0.3377525944794927,5.0,0.5,S42
0.42857142857142855,0.0,0.0,0.0,-0.2727272727272725,-0.3535533905932738,0.25,0.0,0.14285714285714285,0.8199646276022706,25,S27,371,7,0.42857142857142855,0.0,0.0,0.0,-0.2727272727272725,-0.3535533905932738,0.25,0.0,0.14285714285714285,0.8199646276022706,1.0,0.5,S44
0.5714285714285714,0.5,0.3333333333333333,0.4,0.08695652173913038,0.09128709291752768,0.5416666666666666,0.25,0.4206349206349206,0.5618547318237168,26,S28,372,7,0.5714285714285714,0.5,0.3333333333333333,0.4,0.08695652173913038,0.09128709291752768,0.5416666666666666,0.25,0.4206349206349206,0.44769938822303496,5.0,0.5,S21
0.45,0.875,0.4117647058823529,0.56,0.0350877192982455,0.05716619504750295,0.5392156862745098,0.5098039215686274,0.9040826185995554,0.1076263239607215,27,S29,351,20,0.45,0.875,0.4117647058823529,0.56,0.0350877192982455,0.05716619504750295,0.5392156862745098,0.5098039215686274,0.9040826185995554,0.15985967814922333,5.0,0.5,S25
0.46153846153846156,0.14285714285714285,0.5,0.2222222222222222,-0.022471910112359383,-0.03289758474798845,0.4772727272727273,0.3181818181818182,0.17692307692307693,0.800241123025234,28,S30,358,13,0.46153846153846156,0.14285714285714285,0.5,0.2222222222222222,-0.022471910112359383,-0.03289758474798845,0.4772727272727273,0.3181818181818182,0.17692307692307693,0.6100671795698313,5.0,0.5,S22
0.375,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.9772167066112161,29,S31,367,8,0.375,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.7440388910472393,5.0,0.5,S38
