baseline,metric,n_pairs,full_mean,base_mean,median_delta_full_minus_base,wilcoxon_p
cnn_bilstm,balanced_acc,37,0.7326240201240201,0.5224802820391056,0.3125,0.00013485030937361453
cnn_bilstm,mcc,37,0.4609099396085803,0.026985208069862744,0.6390096504226939,7.252016025697288e-05
cnn_bilstm,f1,37,0.6787309383960384,0.4079399331573244,0.24242424242424254,8.749647143761409e-05
cnn_bilstm,roc_auc,37,0.88707873444218,0.5896981999187881,0.30000000000000004,3.115487704779273e-06
deep,balanced_acc,37,0.7326240201240201,0.5322141755965285,0.19999999999999996,0.0006314701149340069
deep,mcc,37,0.4609099396085803,0.06125368348780953,0.4364357804719848,0.0002322720585883074
deep,f1,37,0.6787309383960384,0.43617944706873923,0.29822926374650516,0.00011524463938013207
deep,roc_auc,37,0.88707873444218,0.5851954074012898,0.34285714285714275,4.475269926338756e-06
eegnet,balanced_acc,37,0.7326240201240201,0.6194780246250833,0.09999999999999998,0.009656663596208908
eegnet,mcc,37,0.4609099396085803,0.21116200702335863,0.26970325665977857,0.0032610717397800384
eegnet,f1,37,0.6787309383960384,0.5301006286807505,0.21794871794871795,0.00456046186013562
eegnet,roc_auc,37,0.88707873444218,0.615753762192838,0.2500000000000001,1.7398614119890813e-05
fusion_mlp,balanced_acc,37,0.7326240201240201,0.7145764939882587,0.0,0.6235578545081331
fusion_mlp,mcc,37,0.4609099396085803,0.4252999573105819,0.0,0.5360004675379988
fusion_mlp,f1,37,0.6787309383960384,0.6274286227553014,0.0,0.18326859634350445
fusion_mlp,roc_auc,37,0.88707873444218,0.862613028421852,0.0,0.6641535995842489
shallow,balanced_acc,37,0.7326240201240201,0.5933825250001721,0.125,0.0021270455635433354
shallow,mcc,37,0.4609099396085803,0.172450868182136,0.2777460299317654,0.0023595437816165865
shallow,f1,37,0.6787309383960384,0.5007821702558544,0.2039473684210527,0.00012596953197613336
shallow,roc_auc,37,0.88707873444218,0.6796421594845963,0.1875,6.176023429752563e-06
