group,model,n,ece_reported_perfold_mean,ece_old_pooled,ece_corrected_pooled
main,repro_focal_g3p0_effective_num_37,347,0.4181881037164185,0.3088,0.1606
main,repro_g0p0_balanced_37,347,0.48691664388164657,0.3106,0.0648
ablation,abl_no_contrastive,347,0.41503591042498106,0.2793,0.1282
ablation,abl_no_et,347,0.37143766113404,0.261,0.1675
ablation,abl_no_fusion_transformer,347,0.4465733278382051,0.2899,0.1393
ablation,abl_no_graph,347,0.4088540836012164,0.2678,0.0911
ablation,abl_no_mmd,347,0.4127660500101594,0.275,0.1351
ablation,abl_no_neuro_symbolic,347,0.4202316072890876,0.3202,0.1745
ablation,abl_no_roi,347,0.4214248509172704,0.2773,0.1372
ablation,abl_no_snn,347,0.41979940177190445,0.2855,0.1371
ablation,abl_ns_explain_only,347,0.4185100189060008,0.3118,0.1669
baseline,brain_gcn,385,,0.0878,0.0852
baseline,cnn_bilstm,385,,0.4196,0.3741
baseline,cnn_lstm,385,,0.4533,0.426
baseline,cross_attention,385,,0.4813,0.1993
baseline,deep,385,,0.4254,0.3707
baseline,dual_transformer,385,,0.4841,0.2258
baseline,dynamicgat_et,385,,0.4748,0.2239
baseline,eeg_transformer,385,,0.4611,0.4644
baseline,eegnet,385,,0.3498,0.2994
baseline,et_gru,385,,0.36,0.0561
baseline,et_lstm,385,,0.3679,0.0905
baseline,et_transformer,385,,0.4815,0.2322
baseline,fusion_mlp,385,,0.4202,0.1747
baseline,gat,385,,0.0949,0.0784
baseline,late_fusion,385,,0.4105,0.2416
baseline,mm_transformer,385,,0.482,0.2125
baseline,shallow,385,,0.3987,0.3
baseline,tsception,385,,0.4301,0.3959
