fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,repro_focal_g3p0_effective_num_37,6,5837.1,0.856,5,0.47,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.35158899426460266, 0.36295068860054014, 0.33740841448307035, 0.38508507013320925, 0.47275312542915343, 0.35153281390666963, 0.4629301428794861]",0.7142857142857143,1.0,0.3333333333333333,0.5,0.36363636363636376,0.47140452079103173,0.6666666666666666,1.0,1.0,0.4495881838457925,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5516748637646243
38,S40,742,7,repro_focal_g3p0_effective_num_37,6,5977.73,0.856,5,0.45,0.4013,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.34705291986465453, 0.42752538323402406, 0.39808018803596495, 0.7152477502822876, 0.4375433087348938, 0.45225189328193666, 0.5147796750068665]",0.8571428571428571,0.6666666666666666,1.0,0.8,0.6956521739130435,0.7302967433402214,0.9,0.9,0.8333333333333333,0.3910111759390149,0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.9,0.8333333333333333,0.44956363123867843
40,S42,730,7,repro_focal_g3p0_effective_num_37,6,6344.54,0.857,5,0.47,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.42724605798721316, 0.3020351678133011, 0.47110557556152344, 0.28819801807403567, 0.5496438324451447, 0.253241828083992, 0.39493186175823214]",0.7142857142857143,0.5,0.5,0.5,0.30000000000000004,0.3,0.65,0.7,0.7,0.4733710940395083,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.7039659894439209
41,S43,742,7,repro_focal_g3p0_effective_num_37,6,16063.76,0.856,5,0.42,0.2084,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.47372233867645264, 0.7014595210552216, 0.5631188571453094, 0.7409069299697876, 0.7549834609031677, 0.5105921149253845, 0.6025472402572631]",0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334,0.0,0.0,0.5,1.0,1.0,0.25715592588697156,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.2192407105962923
25,S27,726,7,repro_focal_g3p0_effective_num_37,4,5640.45,0.857,5,0.39,0.1742,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.42032991647720336, 0.40442020893096925, 0.2902213454246521, 0.6250334501266479, 0.40136241912841797, 0.26628020256757734, 0.7118654489517212]",0.42857142857142855,0.2,1.0,0.3333333333333333,0.125,0.2581988897471611,0.6666666666666666,1.0,1.0,0.5900791298065866,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.802812670735125
26,S28,744,7,repro_focal_g3p0_effective_num_37,4,6040.93,0.856,5,0.31,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[1, 0, 0, 0, 1, 1, 0]","[0.5661314964294434, 0.44838838577270507, 0.4946627140045166, 0.6192474722862243, 0.6206377267837524, 0.8393141984939575, 0.6966590642929077]",0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.75,0.7555555555555555,0.3697210669517517,0.7142857142857143,0.6,1.0,0.75,0.46153846153846156,0.5477225575051661,0.75,0.75,0.7555555555555555,0.5155317982274334
27,S29,718,20,repro_focal_g3p0_effective_num_37,4,6486.39,0.857,5,0.46,0.0584,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0.6119458913803101, 0.6117361426353455, 0.636679756641388, 0.6148117542266845, 0.6363606452941895, 0.6299367547035217, 0.6356106042861939, 0.6307099819183349, 0.553161358833313, 0.6192985773086548, 0.6203393697738647, 0.599240118265152, 0.616309666633606, 0.65060675740242, 0.6434631943702698, 0.6251079201698303, 0.6281661868095398, 0.6205374836921692, 0.5007548689842224, 0.5424808859825134]",0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.9215686274509803,0.9866713713349118,0.25820082724094384,0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.9411764705882353,0.9903478419231471,0.12143336542242326
28,S30,704,13,repro_focal_g3p0_effective_num_37,4,15311.56,0.858,5,0.44,0.1909,0.5964,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.258389263600111, 0.7191386938095092, 0.14108565896749498, 0.12678569555282593, 0.0679223314858973, 0.18718568235635757, 0.7002082705497742, 0.054657846409827474, 0.2191200703382492, 0.1991927966475487, 0.1352776348590851, 0.8234601259231568, 0.6049593985080719]",0.8461538461538461,0.5,1.0,0.6666666666666666,0.5806451612903225,0.6396021490668313,0.9090909090909092,1.0,1.0,0.6777868659020617,0.8461538461538461,0.5,1.0,0.6666666666666666,0.5806451612903225,0.6396021490668313,0.9090909090909092,1.0,1.0,0.7556643774769359
30,S32,744,7,repro_focal_g3p0_effective_num_37,4,10773.57,0.856,5,0.44,0.05,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.5106477916240693, 0.33521745204925535, 0.3600715398788452, 0.49139482378959654, 0.3807381808757782, 0.4397070288658142, 0.7202492117881775]",0.7142857142857143,0.3333333333333333,1.0,0.5,0.36363636363636376,0.47140452079103173,0.8333333333333333,1.0,1.0,0.5404670791966575,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.7656162206272776
13,S15,742,6,repro_focal_g3p0_effective_num_37,2,6650.11,0.856,5,0.43,0.8669,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.32245912253856657, 0.32752149999141694, 0.34010869562625884, 0.6548013925552368, 0.48577529191970825, 0.6459591269493103]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5324875757098196,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.5426638152074702
15,S17,740,7,repro_focal_g3p0_effective_num_37,2,5183.1,0.856,5,0.44,0.1618,0.5,effective_num,3.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 0, 1, 1]","[0.4260237693786621, 0.5885404586791992, 0.6012738227844239, 0.5283061563968658, 0.4286931812763214, 0.6533918261528016, 0.5359837055206299]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46254101140158516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.362241462785221
