fold,test_subject,train_n,test_n,experiment,gpu_id,duration_s,peak_mem_gb,n_ensemble,opt_threshold,T_post,opt_threshold_cal,alpha_strategy,focal_gamma,lambda_dann,lambda_mmd,mmd_mode,norm_mode,y_true,y_prob,accuracy,precision,recall,f1,kappa,mcc,balanced_acc,roc_auc,pr_auc,ece,accuracy_cal,precision_cal,recall_cal,f1_cal,kappa_cal,mcc_cal,balanced_acc_cal,roc_auc_cal,pr_auc_cal,ece_cal
37,S39,742,7,repro_g0p0_balanced_37,6,13012.09,0.858,5,0.41,0.05,0.5,balanced,0.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 0, 1]","[0.16204893738031387, 0.1604146108031273, 0.14974906891584397, 0.22710296958684922, 0.37811025977134705, 0.1668533205986023, 0.39405467808246614]",0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.6228859956775393,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5714135149589892
38,S40,742,7,repro_g0p0_balanced_37,6,14385.56,0.858,5,0.43,1.1551,0.5,balanced,0.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 0, 1, 0]","[0.2288830503821373, 0.2890014350414276, 0.29502426236867907, 0.8623230338096619, 0.3124485194683075, 0.27397176921367644, 0.4226177126169205]",0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.4736757452998842,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.6,0.6666666666666666,0.46586959199585787
40,S42,730,7,repro_g0p0_balanced_37,6,12984.07,0.859,5,0.46,0.05,0.5,balanced,0.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 1, 0, 0]","[0.3527739331126213, 0.12822349220514298, 0.23838286697864533, 0.123676797747612, 0.5590443700551987, 0.12539767026901244, 0.3175438329577446]",0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.5935652909534317,0.8571428571428571,1.0,0.5,0.6666666666666666,0.588235294117647,0.6454972243679028,0.75,0.7,0.7,0.7166413234017129
41,S43,742,7,repro_g0p0_balanced_37,6,13502.32,0.858,5,0.31,0.4491,0.5,balanced,0.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 0, 1]","[0.3072507828474045, 0.7267557263374329, 0.5448925465345382, 0.8002478599548339, 0.8514148235321045, 0.36643226146698, 0.6321981847286224]",0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,0.588235294117647,0.6454972243679028,0.75,1.0,1.0,0.3958296877997262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33622451381554097
25,S27,726,7,repro_g0p0_balanced_37,4,15969.4,0.859,5,0.55,0.2109,0.5,balanced,0.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.3057821229100227, 0.26442240476608275, 0.15448350496590138, 0.7242691099643708, 0.261909456551075, 0.15974945202469826, 0.8597063302993775]",0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.6740308340638875,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.8552716175743909
26,S28,744,7,repro_g0p0_balanced_37,4,16107.45,0.858,5,0.13,0.05,0.5,balanced,0.0,0.1,0.1,marginal,zscore,"[1, 0, 0, 0, 1, 1, 0]","[0.6699821174144744, 0.4245646059513092, 0.6238926649093628, 0.8050983190536499, 0.8898159742355347, 0.9684442639350891, 0.877801263332367]",0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.5,0.8333333333333333,0.8666666666666667,0.3533687812941415,0.5714285714285714,0.5,1.0,0.6666666666666666,0.2222222222222221,0.3535533905932738,0.625,0.75,0.6444444444444444,0.42848339015726744
27,S29,718,20,repro_g0p0_balanced_37,4,14880.86,0.859,5,0.35,0.2246,0.5,balanced,0.0,0.1,0.1,marginal,zscore,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0.677863883972168, 0.6890390276908874, 0.7124280035495758, 0.6842459917068482, 0.7075891375541687, 0.7097424626350403, 0.7128961324691773, 0.7033772051334382, 0.5955432891845703, 0.6882679343223572, 0.6973015427589416, 0.6724786341190339, 0.6897128164768219, 0.7263938903808593, 0.7169193029403687, 0.694637656211853, 0.6989165127277375, 0.6985735952854156, 0.4878345549106598, 0.5660245239734649]",0.85,0.85,1.0,0.918918918918919,0.0,0.0,0.5,0.9411764705882353,0.9903478419231471,0.2396674764156342,0.9,0.8947368421052632,1.0,0.9444444444444444,0.45945945945945954,0.5461186812727502,0.6666666666666666,0.9411764705882353,0.9903478419231471,0.12587389331929186
28,S30,704,13,repro_g0p0_balanced_37,4,13250.74,0.86,5,0.38,0.6239,0.5353,balanced,0.0,0.1,0.1,marginal,zscore,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.3893284618854523, 0.8739091515541076, 0.2019800290465355, 0.06363477446138859, 0.03809914663434029, 0.07455334700644016, 0.7953455567359924, 0.03132593613117933, 0.10614691227674485, 0.16245685741305352, 0.0548763592261821, 0.842727267742157, 0.6075021684169769]",0.7692307692307693,0.4,1.0,0.5714285714285714,0.45070422535211274,0.5393598899705937,0.8636363636363636,1.0,1.0,0.7356776524442606,0.8461538461538461,0.5,1.0,0.6666666666666666,0.5806451612903225,0.6396021490668313,0.9090909090909092,1.0,1.0,0.7641769255166223
30,S32,744,7,repro_g0p0_balanced_37,4,10798.08,0.858,5,0.32,0.05,0.5,balanced,0.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 0, 0, 0, 1]","[0.49051172137260435, 0.26671586856245993, 0.2951747953891754, 0.3372615844011307, 0.3003576438874006, 0.3132838875055313, 0.7118304133415222]",0.7142857142857143,0.3333333333333333,1.0,0.5,0.36363636363636376,0.47140452079103173,0.8333333333333333,1.0,1.0,0.6121234407914536,0.8571428571428571,0.5,1.0,0.6666666666666666,0.588235294117647,0.6454972243679028,0.9166666666666667,1.0,1.0,0.8138265686878119
13,S15,742,6,repro_g0p0_balanced_37,2,14675.87,0.858,5,0.36,1.5938,0.5,balanced,0.0,0.1,0.1,marginal,zscore,"[0, 0, 0, 1, 1, 1]","[0.28048361763358115, 0.25604602694511414, 0.2952865853905678, 0.7434609651565551, 0.3154882326722145, 0.7316462159156799]",0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.5014274702717861,0.8333333333333334,1.0,0.6666666666666666,0.8,0.6666666666666667,0.7071067811865476,0.8333333333333333,1.0,1.0,0.3883529598169413
