parameter,value,n_epochs,rho_score_vs_ref,kappa_vs_ref,label_flip_frac,frac_high,is_default
entropy_bins,4.0,385,0.9656874537379719,0.8233754317789292,0.08831168831168831,0.4987012987012987,False
entropy_bins,6.0,385,0.9704093348361483,0.8649341537132988,0.06753246753246753,0.4987012987012987,False
entropy_bins,8.0,385,1.0,1.0,0.0,0.4987012987012987,True
entropy_bins,12.0,385,0.9681256729022274,0.8337651122625216,0.08311688311688312,0.4987012987012987,False
entropy_bins,16.0,385,0.9627432962115604,0.8337651122625216,0.08311688311688312,0.4987012987012987,False
revisit_grid,2.0,385,0.7216417973218491,0.532464378238342,0.23376623376623376,0.4987012987012987,False
revisit_grid,3.0,385,0.8337820049121862,0.6155818221070812,0.19220779220779222,0.4987012987012987,False
revisit_grid,4.0,385,1.0,1.0,0.0,0.4987012987012987,True
revisit_grid,6.0,385,0.8972402597402597,0.7610373488773747,0.11948051948051948,0.4987012987012987,False
revisit_grid,8.0,385,0.8928415819931363,0.7610373488773747,0.11948051948051948,0.4987012987012987,False
central_fraction,0.4,385,0.8512162707758563,0.6571405440414508,0.17142857142857143,0.4987012987012987,False
central_fraction,0.5,385,0.928018176771415,0.7714270293609672,0.11428571428571428,0.4987012987012987,False
central_fraction,0.6,385,1.0,1.0,0.0,0.4987012987012987,True
central_fraction,0.7,385,0.9450018084247358,0.792206390328152,0.1038961038961039,0.4987012987012987,False
central_fraction,0.8,385,0.8560130122468206,0.6467508635578584,0.17662337662337663,0.4987012987012987,False
