model,metric,mean,ci_low,ci_high,n
INS-HDGS-CMT (full),balanced_acc,0.7398049023049023,0.6800718453843455,0.7992418392418392,37
INS-HDGS-CMT (full),mcc,0.4631089866077064,0.3434712677778262,0.5790175908349565,37
INS-HDGS-CMT (full),roc_auc,0.9014208447506767,0.8539424166472485,0.9421277970647719,37
CNN-BiLSTM,balanced_acc,0.5224802820391056,0.46954865054129763,0.5765124673948204,37
CNN-BiLSTM,mcc,0.026985208069862744,-0.0836246806434787,0.13879392945810853,37
CNN-BiLSTM,roc_auc,0.5896981999187881,0.5133595673834644,0.6666014694268371,37
CNN-LSTM,balanced_acc,0.5670589611766081,0.5094244239464828,0.625136173941321,37
CNN-LSTM,mcc,0.13077212459990056,0.02195510330591765,0.24192733596140076,37
CNN-LSTM,roc_auc,0.5559094022539401,0.47240900795207513,0.6382741338959826,37
Cross-Attention,balanced_acc,0.7326567973626797,0.6666034285335756,0.7970611785869138,37
Cross-Attention,mcc,0.46814007163728577,0.34513889323711633,0.5889769944014229,37
Cross-Attention,roc_auc,0.8508970586596637,0.7880532259996548,0.9046709599073043,37
DeepConvNet,balanced_acc,0.5322141755965285,0.46236169037639624,0.6004928909524497,37
DeepConvNet,mcc,0.06125368348780953,-0.06818294916627352,0.186607874180734,37
DeepConvNet,roc_auc,0.5851954074012898,0.49502106303209253,0.6721565637925931,37
Dual Transformer,balanced_acc,0.7820066724478488,0.7321815768690768,0.8332656001589823,37
Dual Transformer,mcc,0.5648317560309504,0.4628142489135002,0.6678633182080506,37
Dual Transformer,roc_auc,0.848796011033406,0.7745467818577062,0.9097529841174798,37
DynamicGAT+ET Transformer,balanced_acc,0.7601942374001197,0.6994526222651222,0.8185132210132209,37
DynamicGAT+ET Transformer,mcc,0.5219040972058346,0.40719346557770647,0.632581335494737,37
DynamicGAT+ET Transformer,roc_auc,0.8223476368434351,0.7483055178459589,0.885919326575839,37
EEG Transformer,balanced_acc,0.5555921754451166,0.5034919502198913,0.6067399207840385,37
EEG Transformer,mcc,0.08455342782683417,-0.019742641094495916,0.18366958576155543,37
EEG Transformer,roc_auc,0.6077034601719475,0.5191096552257267,0.6881581774294483,37
EEGNet,balanced_acc,0.6194780246250833,0.5588339088706734,0.6814571267696268,37
EEGNet,mcc,0.21116200702335863,0.09507789083936923,0.32610595269081205,37
EEGNet,roc_auc,0.615753762192838,0.5245555924458235,0.7028591113964013,37
ET-GRU,balanced_acc,0.7713202602908484,0.7131309102264984,0.8276826685834039,37
ET-GRU,mcc,0.5306853990449262,0.42142332503899893,0.6369130585424043,37
ET-GRU,roc_auc,0.8759118123088712,0.8250039702613232,0.9224422118355939,37
ET-LSTM,balanced_acc,0.7622204901616666,0.6978930558709969,0.823011772276478,37
ET-LSTM,mcc,0.5292638956127858,0.40896553137469227,0.6443238117301711,37
ET-LSTM,roc_auc,0.9047316018954674,0.8547754200984242,0.9472166821273963,37
ET-Transformer,balanced_acc,0.7432299086710851,0.6826575415178355,0.8024896119381415,37
ET-Transformer,mcc,0.491369361937936,0.3731626763532103,0.6064957024472587,37
ET-Transformer,roc_auc,0.8159004289676558,0.7411204836971643,0.8821791780594302,37
Early-Fusion MLP,balanced_acc,0.7145764939882587,0.6533467926482631,0.7754535001961471,37
Early-Fusion MLP,mcc,0.4252999573105819,0.3030683218264788,0.547215351796004,37
Early-Fusion MLP,roc_auc,0.862613028421852,0.7938340343303579,0.9211273757045817,37
GAT,balanced_acc,0.4839532618944383,0.4358047349775292,0.5305083934679522,37
GAT,mcc,-0.03191266547442357,-0.12190800281262397,0.05418370353035264,37
GAT,roc_auc,0.4926568157975721,0.41051646134498027,0.5729623213228779,37
Late Fusion (CNN-LSTM+ET-LSTM),balanced_acc,0.6096222272692859,0.5422913117949884,0.6773064529866,37
Late Fusion (CNN-LSTM+ET-LSTM),mcc,0.21432827168668797,0.086328735860486,0.3439996830201775,37
Late Fusion (CNN-LSTM+ET-LSTM),roc_auc,0.6709009271194145,0.5936964076785505,0.7477421244296245,37
Multimodal Transformer,balanced_acc,0.7352006896124542,0.6702718188012304,0.7975335644085644,37
Multimodal Transformer,mcc,0.4674463335119705,0.3394842421673036,0.588877118436902,37
Multimodal Transformer,roc_auc,0.8111479911374869,0.7422507564143593,0.8741402703587577,37
ShallowConvNet,balanced_acc,0.5933825250001721,0.532420265710707,0.6538026909166614,37
ShallowConvNet,mcc,0.172450868182136,0.05490702531543185,0.290373486860009,37
ShallowConvNet,roc_auc,0.6796421594845963,0.6121636445221005,0.743663472821561,37
TSception,balanced_acc,0.5290603342073931,0.4673362686597981,0.5917451836385661,37
TSception,mcc,0.07009761833830258,-0.04945648415682529,0.18860453597352297,37
TSception,roc_auc,0.5734480860321197,0.4878926434210047,0.6574238867127524,37
