metric,a,b,n,mean_a,mean_b,mean_delta,median_delta,ci95_lo,ci95_hi,wilcoxon_p,cliffs_delta,wins,ties,losses,p_holm
balanced_acc,full,no_et,37,0.7398049023049023,0.6968834093834093,0.042921492921492915,0.0,-0.007625482625482646,0.09697796010296006,0.13167070195075428,0.13513513513513514,14,14,9,0.7900242117045257
balanced_acc,full,no_roi,37,0.7398049023049023,0.7135661635661636,0.02623873873873873,0.0,-0.012387387387387394,0.06632882882882883,0.20118883972057566,0.08108108108108109,9,22,6,1.0
balanced_acc,full,no_fusion,37,0.7398049023049023,0.7143105768105767,0.025494325494325485,0.0,-0.017938604188604226,0.0718782906282906,0.39399238055532604,0.08108108108108109,12,16,9,1.0
balanced_acc,no_et,no_roi,37,0.6968834093834093,0.7135661635661636,-0.01668275418275417,0.0,-0.06443050193050193,0.02731740669240669,0.5591907749315241,-0.02702702702702703,9,18,10,1.0
balanced_acc,full,et_only(ET-LSTM),37,0.7398049023049023,0.7386625166036931,0.0011423857012092449,0.0,-0.0648499839124839,0.06474227067977069,0.7467064048742855,0.02702702702702703,13,12,12,1.0
balanced_acc,no_et,et_only(ET-LSTM),37,0.6968834093834093,0.7386625166036931,-0.04177910722028366,0.0,-0.10740072626102036,0.023566157113951207,0.2652478640548057,-0.10810810810810811,14,5,18,1.0
roc_auc,full,no_et,37,0.9014208447506767,0.8189029358672216,0.08251790888345512,0.06249999999999989,0.020360601242954194,0.1460948614703867,0.0009144225851078471,0.4054054054054054,19,14,4,0.005486535510647083
roc_auc,full,no_roi,37,0.9014208447506767,0.8635865857399471,0.03783425901072961,0.0,-0.0026961773652950105,0.09457828469225527,0.27182951833584557,0.05405405405405406,8,23,6,0.8154885550075367
roc_auc,full,no_fusion,37,0.9014208447506767,0.8909265045084375,0.010494340242239403,0.0,-0.006420187362414249,0.031532957962054596,0.4235963177660037,0.08108108108108109,7,26,4,0.8471926355320074
roc_auc,no_et,no_roi,37,0.8189029358672216,0.8635865857399471,-0.04468364987272551,0.0,-0.10386604942959987,0.024155314521385942,0.016978683163170912,-0.3783783783783784,4,15,18,0.06791473265268365
roc_auc,full,et_only(ET-LSTM),37,0.9014208447506767,0.8467067047949403,0.05471413995573658,0.0,-0.0037487809927410467,0.10745358693231594,0.009284925010505938,0.35135135135135137,18,14,5,0.046424625052529686
roc_auc,no_et,et_only(ET-LSTM),37,0.8189029358672216,0.8467067047949403,-0.027803768927718506,0.0,-0.095011315951442,0.031002811290363766,0.6577873185488332,0.05405405405405406,13,13,11,0.8471926355320074
mcc,full,no_et,37,0.4631089866077064,0.3977102435956739,0.06539874301203238,0.0,-0.037617587294348616,0.17215221258060948,0.2014511720662171,0.13513513513513514,14,14,9,1.0
mcc,full,no_roi,37,0.4631089866077064,0.4259574622212566,0.03715152438644968,0.0,-0.03723301513857308,0.11092263695249115,0.25598851167013814,0.08108108108108109,9,22,6,1.0
mcc,full,no_fusion,37,0.4631089866077064,0.4112761520643543,0.051832834543351955,0.0,-0.040066950214213554,0.14730766927042002,0.33915541347158473,0.08108108108108109,12,16,9,1.0
mcc,no_et,no_roi,37,0.3977102435956739,0.4259574622212566,-0.028247218625582694,0.0,-0.12123364568432496,0.05880980361190389,0.5882519814791813,0.0,10,17,10,1.0
mcc,full,et_only(ET-LSTM),37,0.4631089866077064,0.4933231454361353,-0.030214158828428907,0.0,-0.15303500611451568,0.08818836222586815,0.893638795810523,-0.05405405405405406,14,7,16,1.0
mcc,no_et,et_only(ET-LSTM),37,0.3977102435956739,0.4933231454361353,-0.09561290184046131,0.0,-0.22145383713429848,0.028313585462514522,0.14990988969000774,-0.10810810810810811,14,5,18,0.8994593381400464
