test_subject,n,roc_auc,balanced_acc,feature_set
S01,34,0.8173076923076923,0.5,EEG-5 (frontal band power)
S02,66,0.43251088534107407,0.5,EEG-5 (frontal band power)
S03,33,0.5249999999999999,0.5,EEG-5 (frontal band power)
S05,60,0.35336538461538464,0.5,EEG-5 (frontal band power)
S06,93,0.559539052496799,0.5,EEG-5 (frontal band power)
S07,47,0.4891891891891892,0.5,EEG-5 (frontal band power)
S08,52,0.3668639053254438,0.5,EEG-5 (frontal band power)
S09,42,0.5521885521885521,0.5,EEG-5 (frontal band power)
S10,27,0.4673913043478261,0.5,EEG-5 (frontal band power)
S12,50,0.6074999999999999,0.5,EEG-5 (frontal band power)
S13,110,0.5392561983471074,0.5,EEG-5 (frontal band power)
S14,49,0.44897959183673464,0.5,EEG-5 (frontal band power)
S15,73,0.4230769230769231,0.5,EEG-5 (frontal band power)
S16,57,0.3726851851851852,0.5,EEG-5 (frontal band power)
S17,28,0.55,0.5,EEG-5 (frontal band power)
S18,110,0.4444444444444444,0.5,EEG-5 (frontal band power)
S19,106,0.6112588652482269,0.5,EEG-5 (frontal band power)
S20,71,0.38169642857142855,0.5,EEG-5 (frontal band power)
S21,51,0.5901162790697675,0.5,EEG-5 (frontal band power)
S22,31,0.7090909090909091,0.5,EEG-5 (frontal band power)
S23,128,0.5537037037037037,0.5,EEG-5 (frontal band power)
S24,96,0.5874799357945425,0.5,EEG-5 (frontal band power)
S25,39,0.6235294117647059,0.5,EEG-5 (frontal band power)
S26,19,0.4857142857142857,0.5,EEG-5 (frontal band power)
S27,33,0.40659340659340654,0.5,EEG-5 (frontal band power)
S28,47,0.5277777777777777,0.5,EEG-5 (frontal band power)
S29,61,0.4763636363636364,0.5,EEG-5 (frontal band power)
S30,17,0.75,0.5,EEG-5 (frontal band power)
S31,24,0.35,0.5,EEG-5 (frontal band power)
S32,87,0.47368421052631576,0.5,EEG-5 (frontal band power)
S33,34,0.5288461538461539,0.5,EEG-5 (frontal band power)
S34,68,0.5806451612903226,0.5,EEG-5 (frontal band power)
S35,55,0.4973404255319149,0.5,EEG-5 (frontal band power)
S36,49,0.4307692307692308,0.5,EEG-5 (frontal band power)
S37,91,0.5844298245614035,0.5,EEG-5 (frontal band power)
S38,69,0.528322440087146,0.5,EEG-5 (frontal band power)
S39,53,0.26388888888888895,0.5,EEG-5 (frontal band power)
S40,45,0.67,0.5,EEG-5 (frontal band power)
S41,16,0.8461538461538461,0.5,EEG-5 (frontal band power)
S42,33,0.6098901098901099,0.5,EEG-5 (frontal band power)
S43,25,0.7456140350877193,0.5,EEG-5 (frontal band power)
S44,59,0.37142857142857144,0.5,EEG-5 (frontal band power)
S01,34,0.5192307692307693,0.5,ET-5 (gaze statistics)
S02,66,0.6923076923076923,0.5,ET-5 (gaze statistics)
S03,33,0.46499999999999997,0.5,ET-5 (gaze statistics)
S05,60,0.6923076923076923,0.5,ET-5 (gaze statistics)
S06,93,0.5486555697823303,0.5,ET-5 (gaze statistics)
S07,47,0.5054054054054054,0.5,ET-5 (gaze statistics)
