subject,page,view_idx,dom_product,dom_frac,gaze_on_bought_frac,label_dom_bought,click_in_window,n_valid
S01,1,0,13,0.247,0.05,0,0,599
S01,2,1,37,0.278,0.0,0,0,600
S01,3,2,65,0.393,0.444,1,1,600
S01,5,4,114,0.288,0.3,1,0,600
S01,6,7,138,0.157,0.059,0,0,600
S01,1,8,6,0.372,0.239,0,0,600
S01,2,9,37,0.14,0.139,0,0,600
S01,3,10,64,0.203,0.343,0,0,600
S01,4,11,88,0.365,0.0,0,0,600
S02,1,0,1,0.279,0.141,0,0,588
S02,2,1,25,0.225,0.06,0,0,586
S02,3,2,50,0.565,0.625,1,0,520
S02,4,3,85,0.32,0.346,1,0,593
S02,5,4,103,0.305,0.41,1,0,568
S02,6,5,136,0.485,0.496,1,0,582
S02,1,6,1,0.218,0.174,0,0,556
S03,1,0,1,0.404,0.0,0,0,584
S03,2,1,27,0.478,0.48,1,1,569
S03,3,2,49,0.381,0.329,0,0,567
S03,4,3,75,0.168,0.163,0,0,179
S03,5,4,97,0.261,0.07,0,0,587
S03,6,5,122,0.318,0.109,0,0,582
S03,1,6,1,0.526,0.0,0,0,76
S05,1,0,1,0.345,0.0,0,0,600
S05,2,1,25,0.278,0.0,0,0,600
S05,3,2,50,0.357,0.358,1,0,600
S05,4,3,73,0.118,0.0,0,0,600
S05,5,4,97,0.084,0.044,0,0,574
S05,6,5,129,0.115,0.098,0,0,600
S05,1,6,14,0.284,0.295,1,0,591
S05,2,7,28,0.222,0.0,0,0,589
S05,3,8,57,0.144,0.197,0,0,590
S06,1,0,6,0.3,0.004,0,0,550
S06,2,1,37,0.17,0.138,0,0,560
S06,3,2,50,0.281,0.452,1,0,584
S06,4,3,73,0.379,0.423,1,0,573
S06,5,4,98,0.156,0.273,0,0,588
S06,6,5,123,0.173,0.005,0,0,591
S06,1,6,19,0.098,0.175,0,0,478
S07,1,0,9,0.148,0.0,0,0,581
S07,2,1,39,0.259,0.281,1,0,590
S07,3,2,49,0.34,0.297,0,0,586
S07,4,3,77,0.165,0.0,0,0,600
S07,5,4,99,0.485,0.556,1,0,600
S07,6,5,131,0.166,0.176,1,0,590
S07,1,6,5,0.398,0.0,0,0,590
S08,1,0,5,0.245,0.269,1,0,599
S08,2,1,35,0.124,0.115,0,0,582
S08,3,2,59,0.124,0.109,0,0,580
S08,4,3,84,0.122,0.092,0,0,600
S08,5,4,109,0.158,0.233,1,0,600
S08,6,5,143,0.267,0.312,1,0,600
S08,1,6,5,0.317,0.538,1,1,600
S08,2,7,47,0.119,0.053,0,0,570
S08,3,8,49,0.396,0.561,1,0,586
S08,5,10,100,0.174,0.199,1,1,586
S08,6,11,143,0.391,0.436,1,0,570
S08,1,12,6,0.198,0.156,0,0,580
S08,2,13,30,0.118,0.0,0,0,574
S08,3,14,60,0.238,0.383,1,0,597
S09,1,0,1,0.523,0.053,0,0,520
S09,2,1,38,0.467,0.483,1,1,600
S09,3,2,60,0.382,0.398,1,1,600
S09,4,3,76,0.64,0.652,1,0,567
S09,5,4,110,0.41,0.207,0,0,586
S09,6,5,131,0.23,0.313,1,0,600
S09,1,6,6,0.203,0.115,0,0,518
S09,2,7,30,0.219,0.065,0,0,599
S09,3,8,66,0.415,0.138,0,0,496
S09,4,9,77,0.166,0.097,0,0,580
S09,5,10,102,0.254,0.0,0,0,532
S10,1,0,2,0.967,0.0,0,0,30
S10,2,1,29,0.689,0.07,0,0,45
S10,3,2,53,0.841,0.0,0,1,44
S10,4,3,90,0.208,0.0,0,0,159
S10,5,4,97,0.465,0.065,0,0,43
S10,6,5,138,0.316,0.545,1,1,19
S10,1,6,2,0.396,0.0,0,0,53
S10,2,7,44,0.295,0.037,0,0,220
S10,3,8,54,0.35,0.379,1,0,103
S10,4,9,93,0.176,0.0,0,0,278
S10,6,11,142,0.129,0.284,1,0,443
S12,1,0,14,0.232,0.254,1,0,600
S12,2,1,38,0.165,0.173,0,0,589
S12,3,2,64,0.193,0.258,0,0,528
S12,4,3,73,0.233,0.0,0,0,579
S12,5,4,118,0.246,0.606,1,0,191
S12,6,5,133,0.256,0.358,1,0,520
S12,1,6,3,0.201,0.057,0,0,422
S13,1,0,1,0.391,0.0,0,0,586
S13,2,1,25,0.504,0.583,1,0,579
S13,3,2,49,0.813,0.861,1,0,582
S13,4,3,73,0.785,0.801,1,0,564
S13,5,4,97,0.716,0.781,1,0,370
S13,6,5,121,0.355,0.16,0,0,558
S13,1,6,14,0.274,0.0,0,0,401
S14,1,0,2,0.615,0.002,0,0,600
S14,2,1,26,0.325,0.295,0,0,600
S14,3,3,61,0.3,0.3,1,0,600
S14,4,4,88,0.157,0.0,0,0,600
S14,5,5,114,0.243,0.196,0,0,600
S14,6,6,137,0.362,0.0,0,0,600
S15,1,0,0,0.0,0.0,0,0,0
S15,2,1,25,0.908,0.005,0,0,600
S15,3,2,49,0.688,0.075,0,0,490
S15,4,3,73,0.723,0.752,1,0,600
S15,4,5,96,0.996,0.0,0,0,543
S15,5,6,99,0.532,0.015,0,0,587
S15,6,7,121,0.747,0.863,1,0,569
S15,1,8,1,0.295,0.026,0,0,600
S16,1,0,4,0.248,0.104,0,0,600
S16,2,1,25,0.421,0.743,1,1,599
S16,3,2,51,0.421,0.432,1,1,587
S16,4,3,77,0.49,0.504,1,0,600
S16,5,4,98,0.438,0.862,1,1,600
S16,6,5,121,0.513,0.0,0,0,600
S16,1,6,5,0.461,0.178,0,0,579
