model,avg_rank,nemenyi_cd,n_folds
Dual Transformer,6.027027027027027,4.3304949376953905,37
ET-GRU,6.283783783783784,4.3304949376953905,37
ET-LSTM,6.527027027027027,4.3304949376953905,37
DynamicGAT+ET Transformer,6.702702702702703,4.3304949376953905,37
ET-Transformer,6.972972972972973,4.3304949376953905,37
Cross-Attention,7.0,4.3304949376953905,37
INS-HDGS-CMT (full),7.283783783783784,4.3304949376953905,37
Multimodal Transformer,7.513513513513513,4.3304949376953905,37
Early-Fusion MLP,7.837837837837838,4.3304949376953905,37
EEGNet,10.5,4.3304949376953905,37
Late Fusion (CNN-LSTM+ET-LSTM),10.621621621621621,4.3304949376953905,37
CNN-LSTM,11.554054054054054,4.3304949376953905,37
ShallowConvNet,11.567567567567568,4.3304949376953905,37
EEG Transformer,11.77027027027027,4.3304949376953905,37
DeepConvNet,12.472972972972974,4.3304949376953905,37
TSception,12.905405405405405,4.3304949376953905,37
CNN-BiLSTM,13.31081081081081,4.3304949376953905,37
GAT,14.14864864864865,4.3304949376953905,37
