model,avg_rank,nemenyi_cd,n_folds
Dual Transformer,5.891891891891892,4.3304949376953905,37
ET-GRU,6.324324324324325,4.3304949376953905,37
ET-LSTM,6.378378378378378,4.3304949376953905,37
DynamicGAT+ET Transformer,6.5,4.3304949376953905,37
ET-Transformer,6.675675675675675,4.3304949376953905,37
Cross-Attention,7.094594594594595,4.3304949376953905,37
INS-HDGS-CMT (full),7.337837837837838,4.3304949376953905,37
Multimodal Transformer,7.486486486486487,4.3304949376953905,37
Early-Fusion MLP,7.851351351351352,4.3304949376953905,37
Late Fusion (CNN-LSTM+ET-LSTM),10.635135135135135,4.3304949376953905,37
EEGNet,10.783783783783784,4.3304949376953905,37
ShallowConvNet,11.567567567567568,4.3304949376953905,37
CNN-LSTM,11.756756756756756,4.3304949376953905,37
EEG Transformer,11.91891891891892,4.3304949376953905,37
DeepConvNet,12.64864864864865,4.3304949376953905,37
TSception,12.81081081081081,4.3304949376953905,37
CNN-BiLSTM,13.256756756756756,4.3304949376953905,37
GAT,14.08108108108108,4.3304949376953905,37
