model,avg_rank,nemenyi_cd,n_folds
INS-HDGS-CMT (full),5.1891891891891895,4.3304949376953905,37
ET-LSTM,5.324324324324325,4.3304949376953905,37
Early-Fusion MLP,6.0,4.3304949376953905,37
ET-GRU,6.283783783783784,4.3304949376953905,37
Dual Transformer,6.648648648648648,4.3304949376953905,37
Cross-Attention,6.675675675675675,4.3304949376953905,37
DynamicGAT+ET Transformer,7.364864864864865,4.3304949376953905,37
ET-Transformer,7.8108108108108105,4.3304949376953905,37
Multimodal Transformer,8.175675675675675,4.3304949376953905,37
Late Fusion (CNN-LSTM+ET-LSTM),11.22972972972973,4.3304949376953905,37
ShallowConvNet,11.378378378378379,4.3304949376953905,37
EEGNet,11.81081081081081,4.3304949376953905,37
EEG Transformer,11.891891891891891,4.3304949376953905,37
DeepConvNet,12.108108108108109,4.3304949376953905,37
TSception,12.932432432432432,4.3304949376953905,37
CNN-BiLSTM,12.945945945945946,4.3304949376953905,37
CNN-LSTM,13.08108108108108,4.3304949376953905,37
GAT,14.14864864864865,4.3304949376953905,37
