balanced_acc,mcc,f1,accuracy,strategy,test_subject,n
0.5,0.0,0.0,0.5714285714285714,fixed_0.5,S39,7
0.5,0.0,0.0,0.5714285714285714,val_subject,S39,7
0.875,0.75,0.8571428571428571,0.8571428571428571,train_prior_quantile,S39,7
1.0,1.0,1.0,1.0,online_quantile[k=2],S39,7
1.0,1.0,1.0,1.0,online_median[k=2],S39,7
1.0,1.0,1.0,1.0,online_quantile[k=3],S39,7
1.0,1.0,1.0,1.0,online_median[k=3],S39,7
0.6666666666666666,0.47140452079103173,0.5,0.7142857142857143,online_quantile[k=5],S39,7
0.6666666666666666,0.47140452079103173,0.5,0.7142857142857143,online_median[k=5],S39,7
0.65,0.3,0.5,0.7142857142857143,fixed_0.5,S40,7
0.65,0.3,0.5,0.7142857142857143,val_subject,S40,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,train_prior_quantile,S40,7
0.7,0.4,0.5714285714285714,0.5714285714285714,online_quantile[k=2],S40,7
0.7,0.4,0.5714285714285714,0.5714285714285714,online_median[k=2],S40,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,online_quantile[k=3],S40,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,online_median[k=3],S40,7
0.9,0.7302967433402214,0.8,0.8571428571428571,online_quantile[k=5],S40,7
0.9,0.7302967433402214,0.8,0.8571428571428571,online_median[k=5],S40,7
0.75,0.6454972243679028,0.6666666666666666,0.8571428571428571,fixed_0.5,S42,7
0.75,0.6454972243679028,0.6666666666666666,0.8571428571428571,val_subject,S42,7
0.45,-0.09128709291752768,0.3333333333333333,0.42857142857142855,train_prior_quantile,S42,7
0.55,0.09128709291752768,0.4,0.5714285714285714,online_quantile[k=2],S42,7
0.55,0.09128709291752768,0.4,0.5714285714285714,online_median[k=2],S42,7
0.65,0.3,0.5,0.7142857142857143,online_quantile[k=3],S42,7
0.65,0.3,0.5,0.7142857142857143,online_median[k=3],S42,7
0.65,0.3,0.5,0.7142857142857143,online_quantile[k=5],S42,7
0.65,0.3,0.5,0.7142857142857143,online_median[k=5],S42,7
0.75,0.6454972243679028,0.9090909090909091,0.8571428571428571,fixed_0.5,S43,7
0.75,0.6454972243679028,0.9090909090909091,0.8571428571428571,val_subject,S43,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,train_prior_quantile,S43,7
0.8,0.5477225575051661,0.75,0.7142857142857143,online_quantile[k=2],S43,7
0.8,0.5477225575051661,0.75,0.7142857142857143,online_median[k=2],S43,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_quantile[k=3],S43,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_median[k=3],S43,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_quantile[k=5],S43,7
0.9,0.7302967433402214,0.8888888888888888,0.8571428571428571,online_median[k=5],S43,7
0.9166666666666667,0.6454972243679028,0.6666666666666666,0.8571428571428571,fixed_0.5,S27,7
0.9166666666666667,0.6454972243679028,0.6666666666666666,0.8571428571428571,val_subject,S27,7
0.75,0.3535533905932738,0.4,0.5714285714285714,train_prior_quantile,S27,7
0.9166666666666667,0.6454972243679028,0.6666666666666666,0.8571428571428571,online_quantile[k=2],S27,7
0.9166666666666667,0.6454972243679028,0.6666666666666666,0.8571428571428571,online_median[k=2],S27,7
0.9166666666666667,0.6454972243679028,0.6666666666666666,0.8571428571428571,online_quantile[k=3],S27,7
0.9166666666666667,0.6454972243679028,0.6666666666666666,0.8571428571428571,online_median[k=3],S27,7
0.9166666666666667,0.6454972243679028,0.6666666666666666,0.8571428571428571,online_quantile[k=5],S27,7
0.9166666666666667,0.6454972243679028,0.6666666666666666,0.8571428571428571,online_median[k=5],S27,7
0.75,0.5477225575051661,0.75,0.7142857142857143,fixed_0.5,S28,7
0.75,0.5477225575051661,0.75,0.7142857142857143,val_subject,S28,7
0.5833333333333333,0.16666666666666666,0.5714285714285714,0.5714285714285714,train_prior_quantile,S28,7
0.75,0.5477225575051661,0.75,0.7142857142857143,online_quantile[k=2],S28,7
0.75,0.5477225575051661,0.75,0.7142857142857143,online_median[k=2],S28,7
0.75,0.5477225575051661,0.75,0.7142857142857143,online_quantile[k=3],S28,7
0.75,0.5477225575051661,0.75,0.7142857142857143,online_median[k=3],S28,7
0.75,0.5477225575051661,0.75,0.7142857142857143,online_quantile[k=5],S28,7
0.75,0.5477225575051661,0.75,0.7142857142857143,online_median[k=5],S28,7
0.5,0.0,0.918918918918919,0.85,fixed_0.5,S29,20
0.5,0.0,0.918918918918919,0.85,val_subject,S29,20
0.7941176470588236,0.420084025208403,0.7407407407407407,0.65,train_prior_quantile,S29,20
0.6568627450980392,0.2286647801900118,0.7586206896551724,0.65,online_quantile[k=2],S29,20
0.6568627450980392,0.2286647801900118,0.7586206896551724,0.65,online_median[k=2],S29,20
0.6568627450980392,0.2286647801900118,0.7586206896551724,0.65,online_quantile[k=3],S29,20
0.6568627450980392,0.2286647801900118,0.7586206896551724,0.65,online_median[k=3],S29,20
0.6568627450980392,0.2286647801900118,0.7586206896551724,0.65,online_quantile[k=5],S29,20
0.6568627450980392,0.2286647801900118,0.7586206896551724,0.65,online_median[k=5],S29,20
0.9090909090909092,0.6396021490668313,0.6666666666666666,0.8461538461538461,fixed_0.5,S30,13
0.9090909090909092,0.6396021490668313,0.6666666666666666,0.8461538461538461,val_subject,S30,13
0.7727272727272727,0.39477101697586137,0.4444444444444444,0.6153846153846154,train_prior_quantile,S30,13
0.7727272727272727,0.39477101697586137,0.4444444444444444,0.6153846153846154,online_quantile[k=2],S30,13
0.7727272727272727,0.39477101697586137,0.4444444444444444,0.6153846153846154,online_median[k=2],S30,13
0.7727272727272727,0.39477101697586137,0.4444444444444444,0.6153846153846154,online_quantile[k=3],S30,13
0.7727272727272727,0.39477101697586137,0.4444444444444444,0.6153846153846154,online_median[k=3],S30,13
0.7727272727272727,0.39477101697586137,0.4444444444444444,0.6153846153846154,online_quantile[k=5],S30,13
0.7727272727272727,0.39477101697586137,0.4444444444444444,0.6153846153846154,online_median[k=5],S30,13
0.9166666666666667,0.6454972243679028,0.6666666666666666,0.8571428571428571,fixed_0.5,S32,7
0.9166666666666667,0.6454972243679028,0.6666666666666666,0.8571428571428571,val_subject,S32,7
0.75,0.3535533905932738,0.4,0.5714285714285714,train_prior_quantile,S32,7
0.75,0.3535533905932738,0.4,0.5714285714285714,online_quantile[k=2],S32,7
0.75,0.3535533905932738,0.4,0.5714285714285714,online_median[k=2],S32,7
0.75,0.3535533905932738,0.4,0.5714285714285714,online_quantile[k=3],S32,7
0.75,0.3535533905932738,0.4,0.5714285714285714,online_median[k=3],S32,7
0.8333333333333333,0.47140452079103173,0.5,0.7142857142857143,online_quantile[k=5],S32,7
0.8333333333333333,0.47140452079103173,0.5,0.7142857142857143,online_median[k=5],S32,7
0.8333333333333333,0.7071067811865476,0.8,0.8333333333333334,fixed_0.5,S15,6
0.8333333333333333,0.7071067811865476,0.8,0.8333333333333334,val_subject,S15,6
1.0,1.0,1.0,1.0,train_prior_quantile,S15,6
0.8333333333333333,0.7071067811865476,0.8571428571428571,0.8333333333333334,online_quantile[k=2],S15,6
0.8333333333333333,0.7071067811865476,0.8571428571428571,0.8333333333333334,online_median[k=2],S15,6
